Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
ray ban,0.69,5000000,-,823000,0.69,-,-,-,1220000,1220000,1000000,1000000,823000,823000,823000,673000,673000,673000,823000,1000000
hair extensions,0.7,1830000,-,1000000,0.89,-,-,-,1830000,1500000,1220000,1220000,1000000,1000000,823000,823000,823000,673000,823000,673000
sunglasses,0.67,5000000,-,2740000,0.96,-,-,-,-,-,3350000,3350000,2740000,2240000,2240000,2240000,2740000,2740000,2740000,3350000
feather hair extensions,0.81,201000,-,201000,0.46,-,-,-,823000,550000,368000,246000,110000,60500,27100,18100,9900,5400,3600,1900
vineyard vines,0.57,165000,-,165000,0.53,-,-,-,201000,201000,201000,201000,165000,135000,201000,165000,135000,110000,135000,135000
backpacks,0.74,4090000,-,2740000,0.95,-,-,-,2240000,1830000,1830000,2240000,2240000,2740000,2240000,2240000,2240000,2240000,5000000,3350000
glasses,0.55,6120000,-,3350000,1.25,-,-,-,-,-,3350000,4090000,3350000,4090000,4090000,3350000,3350000,3350000,3350000,2740000
purses,0.66,7480000,-,4090000,0.91,-,-,-,3350000,3350000,3350000,5000000,4090000,5000000,5000000,5000000,4090000,4090000,4090000,3350000
rayban,0.74,4090000,-,673000,0.66,-,-,-,1000000,1000000,823000,823000,673000,673000,673000,550000,550000,550000,673000,823000
jansport,0.63,450000,-,246000,0.76,-,-,-,201000,135000,135000,165000,165000,201000,165000,165000,165000,246000,673000,450000
ray bans,0.51,368000,-,165000,0.6,-,-,-,246000,201000,165000,165000,165000,135000,135000,135000,110000,110000,135000,165000
miche bag,0.32,165000,-,135000,0.19,-,-,-,90500,110000,135000,135000,110000,135000,165000,165000,135000,135000,110000,110000
designer handbags,0.76,450000,-,246000,1.52,-,-,-,165000,165000,201000,246000,246000,246000,301000,246000,246000,201000,246000,246000
ray ban sunglasses,0.96,368000,-,135000,1.12,-,-,-,201000,165000,135000,165000,135000,110000,135000,110000,110000,110000,135000,135000
filson,0.62,135000,-,90500,0.64,-,-,-,60500,60500,74000,74000,90500,135000,201000,135000,110000,90500,74000,49500
