Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
purses,0.66,7480000,-,4090000,0.91,-,-,-,3350000,3350000,3350000,5000000,4090000,5000000,5000000,5000000,4090000,4090000,4090000,3350000
miche bag,0.32,165000,-,135000,0.19,-,-,-,90500,110000,135000,135000,110000,135000,165000,165000,135000,135000,110000,110000
designer handbags,0.76,450000,-,246000,1.52,-,-,-,165000,165000,201000,246000,246000,246000,301000,246000,246000,201000,246000,246000
miche bags,0.33,135000,-,110000,0.18,-,-,-,74000,90500,110000,135000,110000,110000,135000,135000,110000,110000,90500,90500
wallets,0.62,2740000,-,1500000,0.83,-,-,-,1500000,1500000,1220000,1830000,1830000,1830000,2740000,1830000,1220000,1220000,1220000,1220000
kathy van zeeland,0.7,110000,-,74000,0.55,-,-,-,49500,60500,60500,74000,74000,74000,110000,110000,74000,74000,90500,74000
lesportsac,0.87,201000,-,90500,0.63,-,-,-,74000,74000,74000,74000,74000,74000,90500,74000,74000,90500,110000,90500
rebecca minkoff,0.84,110000,-,74000,1.32,-,-,-,90500,110000,90500,90500,74000,90500,90500,90500,60500,60500,60500,49500
miche,0.22,673000,-,246000,0.18,-,-,-,201000,246000,246000,301000,246000,246000,301000,246000,246000,246000,201000,201000
wholesale handbags,0.88,246000,-,165000,1.24,-,-,-,135000,135000,135000,201000,165000,165000,165000,165000,165000,165000,135000,135000
etienne aigner,0.85,74000,-,40500,0.71,-,-,-,33100,33100,33100,40500,40500,49500,74000,60500,49500,40500,33100,27100
brahmin handbags,0.77,18100,-,14800,0.61,-,-,-,12100,14800,14800,18100,18100,18100,22200,18100,14800,14800,12100,12100
cross body bags,0.9,135000,-,110000,1.07,-,-,-,110000,110000,110000,135000,110000,110000,110000,110000,90500,74000,90500,90500
cheap handbags,0.88,246000,-,110000,1.2,-,-,-,90500,90500,90500,135000,135000,135000,165000,135000,110000,110000,135000,110000
jessica simpson handbags,1,14800,-,14800,0.87,-,-,-,12100,12100,14800,18100,14800,14800,18100,14800,12100,12100,12100,12100
cheap purses,0.91,165000,-,110000,1.09,-,-,-,90500,90500,90500,110000,135000,135000,165000,135000,110000,110000,110000,110000
crossbody bags,0.9,135000,-,110000,1.13,-,-,-,110000,110000,110000,135000,110000,110000,110000,90500,74000,74000,90500,90500
brahmin,0.3,301000,-,90500,0.54,-,-,-,74000,90500,90500,110000,110000,110000,110000,90500,110000,90500,74000,60500
b makowsky,0.97,60500,-,60500,0.93,-,-,-,40500,49500,49500,60500,60500,60500,74000,60500,60500,60500,60500,49500
purse,0.43,1830000,-,1500000,0.7,-,-,-,-,-,1220000,1500000,1220000,1500000,1830000,1500000,1500000,1220000,1220000,1220000
hobo international,0.9,40500,-,40500,0.93,-,-,-,-,33100,33100,33100,40500,40500,49500,40500,40500,33100,33100,33100
tignanello,0.93,60500,-,40500,0.6,-,-,-,40500,40500,49500,49500,49500,49500,60500,40500,40500,40500,40500,33100
