Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
halloween costumes,0.51,5000000,-,4090000,0.54,-,-,-,450000,301000,246000,368000,368000,550000,673000,1500000,30400000,11100000,2740000,823000
wedding dresses,0.56,4090000,-,2240000,0.91,-,-,-,-,-,2240000,2240000,2240000,3350000,1830000,1830000,2240000,1830000,1830000,2240000
prom dresses,0.66,4090000,-,2740000,0.79,-,-,-,1220000,2740000,5000000,7480000,5000000,5000000,1500000,1220000,1220000,1220000,823000,673000
david s bridal,0.13,450000,-,368000,0.11,-,-,-,201000,246000,301000,368000,301000,550000,301000,450000,550000,673000,550000,301000
patagonia,0.62,2740000,-,823000,0.93,-,-,-,550000,550000,673000,823000,823000,1220000,1500000,1220000,823000,673000,550000,550000
prom dresses 2011,0.72,550000,-,450000,0.73,-,-,-,-,368000,1000000,1500000,1220000,1220000,301000,246000,165000,110000,40500,18100
bcbg,0.6,1000000,-,673000,0.62,-,-,-,550000,823000,823000,823000,673000,823000,673000,673000,550000,673000,550000,550000
bridesmaid dresses,0.76,1830000,-,1000000,1.11,-,-,-,1000000,1000000,1000000,1220000,1220000,1830000,823000,1000000,1000000,823000,823000,823000
maternity clothes,0.97,1000000,-,550000,1.17,-,-,-,450000,550000,550000,673000,673000,673000,450000,450000,450000,450000,450000,450000
scrubs,0.65,4090000,-,1830000,1.54,-,-,-,1500000,1500000,1830000,2240000,1830000,1830000,1500000,1500000,1830000,1830000,1830000,1500000
costumes,0.57,11100000,-,6120000,0.5,-,-,-,-,-,1830000,2240000,2240000,2240000,2240000,3350000,37200000,16600000,5000000,2740000
dress barn,0.27,301000,-,301000,0.25,-,-,-,301000,368000,368000,301000,246000,201000,246000,246000,246000,246000,201000,201000
swimsuits,0.86,5000000,-,2740000,1.11,-,-,-,4090000,4090000,3350000,4090000,4090000,2740000,1500000,1500000,1500000,1500000,2240000,3350000
motherhood maternity,0.45,201000,-,165000,0.19,-,-,-,165000,165000,201000,201000,165000,201000,165000,165000,165000,135000,110000,110000
plus size clothing,1,1000000,-,673000,1.29,-,-,-,673000,823000,823000,1000000,823000,823000,550000,673000,673000,673000,673000,673000
halloween costumes 2010,0.24,301000,-,246000,0.49,-,-,-,1600,1600,1900,2400,4400,9900,12100,110000,1830000,823000,201000,40500
dickies,0.72,823000,-,368000,1.19,-,-,-,368000,301000,301000,450000,368000,450000,450000,450000,450000,368000,450000,368000
pajama jeans,0.65,110000,-,110000,0.27,-,-,-,74000,74000,74000,110000,201000,368000,301000,74000,22200,5400,4400,5400
wedding gowns,0.56,5000000,-,2240000,0.84,-,-,-,-,-,2740000,2740000,2740000,3350000,1830000,2240000,2240000,2240000,2240000,2240000
swimwear,0.85,5000000,-,3350000,1.14,-,-,-,5000000,4090000,3350000,4090000,4090000,3350000,1830000,1500000,1500000,1830000,2240000,4090000
alfred angelo,0.25,368000,-,246000,0.43,-,-,-,246000,301000,301000,368000,301000,450000,201000,201000,246000,201000,201000,201000
cocktail dresses,1,823000,-,550000,1.04,-,-,-,368000,450000,550000,673000,550000,550000,450000,550000,450000,550000,368000,368000
homecoming dresses,0.9,301000,-,301000,0.74,-,-,-,90500,74000,60500,60500,90500,165000,110000,135000,550000,1500000,550000,165000
carhartt,0.93,823000,-,368000,1.75,-,-,-,165000,201000,201000,301000,368000,550000,1220000,823000,450000,301000,201000,165000
mother of the bride dresses,1,450000,-,301000,0.87,-,-,-,301000,301000,368000,450000,368000,450000,135000,165000,201000,201000,246000,246000
snapbacks,0.39,246000,-,201000,0.24,-,-,-,550000,450000,368000,368000,246000,165000,135000,90500,74000,60500,49500,27100
vintage clothing,0.64,823000,-,450000,0.76,-,-,-,368000,368000,450000,550000,550000,550000,368000,368000,450000,450000,368000,368000
bathing suits,0.9,4090000,-,2740000,1.09,-,-,-,4090000,4090000,3350000,4090000,3350000,2740000,1500000,1220000,1220000,1220000,1830000,3350000
hanes,0.49,823000,-,450000,1.13,-,-,-,450000,450000,550000,550000,450000,550000,550000,450000,450000,450000,450000,368000
ashley stewart,0.42,110000,-,90500,0.24,-,-,-,110000,110000,110000,110000,90500,90500,110000,110000,90500,90500,74000,74000
