Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
flower girl dresses,1,368000,-,201000,1.16,-,-,-,201000,201000,246000,301000,301000,301000,135000,165000,165000,165000,201000,201000
pediped,0.78,74000,-,49500,0.71,-,-,-,40500,49500,49500,60500,49500,49500,40500,60500,60500,60500,49500,33100
baby shoes,0.77,368000,-,201000,0.92,-,-,-,165000,165000,201000,246000,246000,246000,201000,246000,246000,201000,201000,165000
baptism gifts,1,165000,-,60500,1.32,-,-,-,60500,74000,60500,60500,74000,60500,40500,74000,74000,74000,60500,60500
christening gowns,1,201000,-,90500,0.93,-,-,-,90500,90500,90500,110000,110000,135000,60500,74000,90500,90500,110000,90500
baby boutique,0.66,165000,-,110000,0.84,-,-,-,110000,90500,110000,135000,135000,135000,90500,110000,110000,110000,110000,110000
kids clothing,0.81,1500000,-,673000,1.08,-,-,-,450000,450000,550000,823000,823000,823000,823000,823000,823000,673000,673000,550000
communion dresses,1,135000,-,74000,0.88,-,-,-,18100,60500,135000,201000,165000,165000,27100,33100,33100,27100,22200,18100
baby boy clothes,0.94,110000,-,60500,1.19,-,-,-,60500,49500,60500,90500,74000,74000,49500,60500,60500,60500,60500,49500
cheap baby clothes,0.98,49500,-,27100,1.2,-,-,-,27100,22200,27100,33100,33100,33100,27100,27100,33100,33100,27100,22200
rompers,0.62,301000,-,201000,0.74,-,-,-,301000,301000,246000,246000,201000,165000,90500,90500,135000,135000,201000,246000
kids clothes,0.81,1220000,-,673000,1.05,-,-,-,450000,450000,550000,823000,823000,673000,673000,823000,673000,673000,673000,550000
mud pie,0.46,135000,-,90500,0.35,-,-,-,90500,90500,90500,110000,90500,90500,90500,110000,90500,74000,74000,74000
squeaky shoes,0.74,33100,-,27100,0.48,-,-,-,22200,22200,27100,33100,27100,27100,27100,33100,33100,27100,22200,18100
little miss matched,0.37,27100,-,27100,0.2,-,-,-,14800,18100,18100,22200,22200,33100,49500,49500,18100,14800,18100,14800
onesie,0.59,450000,-,301000,0.73,-,-,-,246000,246000,246000,301000,301000,368000,368000,301000,301000,301000,246000,246000
girls dresses,0.88,1830000,-,1000000,0.97,-,-,-,823000,823000,1000000,1220000,1220000,1220000,823000,1000000,1000000,823000,823000,823000
flower girl dress,1,368000,-,201000,1.13,-,-,-,201000,201000,246000,301000,301000,301000,135000,165000,165000,165000,201000,201000
newborn clothes,0.86,1000000,-,550000,0.99,-,-,-,450000,450000,450000,673000,673000,673000,550000,550000,550000,550000,550000,450000
