Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
anne taylor,0.18,1220000,-,1220000,0.2,-,-,-,1220000,1220000,1220000,1220000,1000000,1220000,1500000,1500000,1220000,1220000,1000000,1000000
black and white market,0.13,368000,-,368000,0.1,-,-,-,368000,450000,368000,368000,368000,368000,368000,368000,301000,301000,301000,246000
loft outlet,0.29,14800,-,14800,0.25,-,-,-,22200,18100,18100,14800,9900,12100,12100,14800,12100,12100,12100,9900
blackhouse white market,0.13,33100,-,27100,0.1,-,-,-,33100,33100,33100,33100,33100,33100,33100,33100,27100,27100,18100,18100
ann tylor,0.19,3600,-,2400,0.4,-,-,-,2400,2400,2400,2400,2400,2400,2900,3600,2900,2400,2400,2400
ann talor,0.19,3600,-,2900,0.3,-,-,-,3600,3600,3600,2900,2400,2900,3600,3600,2900,2900,2400,2400
annetaylor,0.22,1600,-,1600,0.34,-,-,-,1600,1600,1600,1600,1300,1300,1600,1900,1300,1300,1300,1300
ann tyalor,0.17,1300,-,1300,0.31,-,-,-,1000,1300,1300,1300,1000,1300,1300,1600,1600,1600,1000,1300
ao dai cuoi,0.2,14800,-,1600,0.13,-,-,-,1600,1600,1600,1600,1600,1900,1000,1300,1300,1300,1300,1300
blackhousewhitemarket,0.1,880,-,880,0.1,-,-,-,880,1000,1000,1000,880,880,880,880,880,880,590,590
ann tayor,0.22,1900,-,1600,0.34,-,-,-,1600,1600,1600,1600,1600,1600,1900,1900,1900,1900,1600,1300
ao cuoi,0.12,301000,-,5400,0.13,-,-,-,5400,5400,5400,5400,5400,6600,4400,5400,5400,4400,4400,5400
ann talyor,0.2,1600,-,1300,0.33,-,-,-,1000,1300,1300,1300,1000,1300,1600,1900,1600,1600,1600,1300
ann tayler,0.23,2900,-,1300,0.52,-,-,-,1000,1300,1300,1000,1000,1300,1600,1600,1300,1300,1000,1000
ann taylot,0.19,1000,-,1000,0.37,-,-,-,1000,1300,1300,1300,1000,1000,1000,1300,880,880,880,720
won hundred,0.12,22200,-,3600,0.57,-,-,-,3600,5400,4400,5400,4400,4400,3600,3600,3600,2900,2400,1900
the loft outlet,0.29,14800,-,14800,0.25,-,-,-,22200,18100,18100,14800,9900,12100,12100,14800,12100,12100,12100,9900
ann taylore,0.18,880,-,720,0.3,-,-,-,590,720,720,590,720,720,720,720,720,720,720,590
loft taylor,0.12,673000,-,550000,0.15,-,-,-,673000,673000,673000,673000,450000,550000,673000,673000,550000,673000,550000,550000
anne loft,0.11,550000,-,550000,0.15,-,-,-,550000,673000,550000,550000,450000,450000,673000,673000,550000,550000,450000,450000
appleseeds catalog,0.46,880,-,880,0.19,-,-,-,1000,880,880,1000,880,1000,880,880,880,880,720,720
anntylor,0.31,320,-,260,0.45,-,-,-,260,260,260,320,260,260,320,390,260,260,210,320
loft store locator,0.21,2400,-,2400,0.43,-,-,-,2900,2400,2400,1900,1600,2400,3600,2400,2400,2400,1900,1900
black & white market,0.13,368000,-,368000,0.1,-,-,-,368000,450000,368000,368000,368000,368000,368000,368000,301000,301000,301000,246000
black house white market outlet,0.15,5400,-,4400,0.19,-,-,-,4400,5400,5400,5400,4400,4400,4400,5400,4400,4400,4400,3600
annetaylor loft,0.12,260,-,260,0.15,-,-,-,210,260,260,260,170,170,390,480,260,210,210,210
ann tayler loft,0.17,320,-,320,0.24,-,-,-,170,210,210,210,260,320,390,480,390,390,260,260
whitehouseblackmarket outlet,0.15,4400,-,3600,0.21,-,-,-,4400,4400,4400,4400,3600,3600,3600,4400,3600,3600,3600,3600
ropa para dama,0.46,33100,-,590,0.31,-,-,-,-,590,480,720,720,720,590,720,590,590,590,590
ann tayloe loft,0.19,1300,-,1000,0.35,-,-,-,1000,1300,1000,1300,1000,1000,1300,1600,1300,1000,880,880
blackmarketwhitehouse,0.14,210,-,210,0.14,-,-,-,140,320,390,320,210,170,170,210,91,170,140,140
bendels nyc,0.24,880,-,720,0.63,-,-,-,720,720,720,880,720,720,1000,880,590,590,590,590
crossing pointe catalog,0.18,91,-,91,0.14,-,-,-,58,46,73,91,91,110,110,91,91,73,91,73
denon hc 4500,0.55,5400,-,1000,0.8,-,-,-,880,880,880,1300,1600,1600,1000,1000,1000,1000,1000,880
may ao dai,0.1,12100,-,880,0.1,-,-,-,720,1000,720,1000,1300,1000,720,590,480,480,480,590
the tog shop catalogue,0.33,260,-,260,0.27,-,-,-,480,390,260,320,320,390,260,260,210,210,46,73
heartmade,0.04,14800,-,5400,0.36,-,-,-,4400,5400,4400,6600,8100,9900,4400,4400,4400,3600,3600,3600
artyastro games,0.23,480,-,390,0.4,-,-,-,110,140,140,260,210,320,720,590,880,880,480,260
anntalor,0.32,320,-,260,0.47,-,-,-,260,260,260,210,210,320,320,390,320,260,210,210
ann tatlor,0.24,260,-,260,0.38,-,-,-,210,260,260,260,210,260,320,320,260,260,260,260
ganni,0.06,22200,-,1600,0.69,-,-,-,1300,1600,1600,2400,2400,2400,1600,1600,1600,1600,1000,1300
anne taylor clothing,0.59,6600,-,5400,0.61,-,-,-,6600,6600,6600,6600,5400,5400,4400,4400,4400,5400,4400,4400
ao cuoi vivian,0.1,2900,-,110,0.1,-,-,-,91,140,140,140,110,140,110,140,140,110,110,91
black and white market outlet,0.15,5400,-,5400,0.2,-,-,-,5400,5400,5400,5400,4400,4400,4400,5400,4400,4400,4400,4400
spiegels catalog,0.13,320,-,320,0.21,-,-,-,-,170,210,390,320,320,260,390,590,720,170,210
shopping bras,0.73,18100,-,5400,1.38,-,-,-,5400,4400,4400,6600,6600,6600,5400,4400,4400,3600,4400,4400
loft loves teachers coupon,0.07,110,-,110,0.85,-,-,-,91,46,58,110,73,73,91,140,170,140,170,140
sandro s,0.15,27100,-,3600,0.88,-,-,-,3600,4400,4400,5400,4400,4400,2900,2900,2900,2900,2400,2900
moda hombre,0.31,135000,-,3600,0.41,-,-,-,2900,3600,2900,3600,3600,3600,4400,3600,3600,2900,2900,2900
ann tay or loft,0.17,3600,-,3600,0.29,-,-,-,3600,3600,3600,3600,2900,2900,3600,3600,2900,2900,2900,2400
ao cuoi viet nam,0.21,4400,-,320,0.12,-,-,-,320,320,390,320,390,480,260,320,320,260,480,320
anne taylor loft dresses,0.48,2400,-,2400,0.67,-,-,-,2900,2900,2900,2900,2400,1900,1900,1900,1900,1900,1900,2400
gazoz jeans,0.54,1600,-,73,0.87,-,-,-,46,36,36,73,46,73,73,91,110,110,91,91
bluemoon hotel,0.38,14800,-,4400,1.87,-,-,-,5400,5400,5400,6600,6600,5400,3600,3600,4400,4400,4400,2400
black and white market store,0.23,2900,-,2900,0.3,-,-,-,2400,2900,2900,2900,2400,2400,2900,2900,2400,2400,2400,2400
anntayor,0.29,110,-,110,0.68,-,-,-,91,110,110,140,91,91,110,140,91,91,110,73
cestoi,0.23,720,-,170,0.86,-,-,-,140,140,140,210,210,170,110,210,320,260,170,210
anntayloroutlet,0.77,110,-,110,0.64,-,-,-,91,73,140,140,140,110,110,140,73,73,58,91
sharp mobilon,0.42,590,-,260,0.39,-,-,-,170,140,140,260,320,320,390,320,210,320,260,260
whiteandblackmarket,0.1,46,-,46,0.1,-,-,-,58,22,22,36,46,36,36,36,36,36,28,140
con dao resort,0.37,3600,-,110,0.57,-,-,-,170,170,110,110,91,140,140,110,91,110,73,110
sharp mobilon tripad pv 6000,0.71,58,-,58,0.22,-,-,-,46,28,22,46,91,58,73,73,36,46,58,46
the loft store locator,0.21,2400,-,2400,0.4,-,-,-,2900,2400,2400,1900,1600,2400,3600,2400,2400,2400,1900,1900
diane susek,0.11,140,-,110,0.18,-,-,-,91,170,140,110,110,91,91,140,73,110,110,110
whiteblackmarket,0.09,91,-,91,0.18,-,-,-,46,58,73,140,140,91,91,91,91,58,58,46
ao dai cuoi abc,0.14,590,-,73,0.1,-,-,-,58,58,73,58,58,73,73,91,110,46,58,73
mutou,0.02,18100,-,2900,0.73,-,-,-,2900,2900,2900,3600,2900,2900,2900,2900,2900,1900,2400,2400
willowridge clothing,0.59,720,-,720,0.2,-,-,-,590,590,720,590,590,720,720,720,720,880,720,880
anntyalor,0.37,110,-,110,0.54,-,-,-,91,140,170,140,91,110,110,110,91,91,73,73
ao cuoi 2011,0.15,9900,-,140,0.1,-,-,-,260,260,260,260,170,170,110,36,12,12,0,12
ann loft outlet,0.3,8100,-,8100,0.23,-,-,-,9900,8100,8100,6600,5400,6600,6600,8100,8100,8100,8100,8100
belluna,0.36,9900,-,720,0.93,-,-,-,720,720,720,720,720,880,480,720,720,590,720,880
white black market outlet,0.15,5400,-,5400,0.2,-,-,-,5400,5400,5400,5400,4400,4400,4400,5400,4400,4400,4400,4400
loft store locations,0.24,1600,-,1300,0.38,-,-,-,1900,1600,1300,1600,1000,1300,1900,1300,1300,1600,1000,1300
ann loft maternity,0.4,2900,-,2900,0.27,-,-,-,2400,2400,2900,2900,2400,2900,2900,3600,2900,2900,2900,1600
ropa casual para hombre,0.41,2400,-,140,0.41,-,-,-,170,210,140,170,140,110,210,140,140,170,91,140
black house white market locations,0.18,1600,-,1600,0.44,-,-,-,1900,2400,1900,1900,1300,1600,1600,1300,880,880,880,880
anntalyor,0.34,91,-,73,0.59,-,-,-,46,58,73,73,58,73,73,110,91,91,91,58
pareo tahiti,0.69,1900,-,390,0.54,-,-,-,390,260,390,390,480,480,320,390,320,320,390,480
anne tayor loft,0.14,590,-,590,0.15,-,-,-,590,590,590,590,590,590,720,720,590,590,590,480
ropa de dama,0.43,49500,-,880,0.33,-,-,-,720,880,720,1000,1000,880,880,1000,880,880,880,880
the black and white market,0.13,368000,-,368000,0.11,-,-,-,368000,450000,368000,368000,368000,368000,368000,368000,301000,301000,301000,246000
ann loft credit card,0.08,6600,-,6600,1.55,-,-,-,9900,6600,6600,6600,5400,6600,6600,6600,5400,5400,5400,5400
sharp pv 6000,0.57,210,-,110,0.42,-,-,-,140,73,91,91,170,110,170,170,91,91,110,140
blackhouse whitemarket,0.12,1900,-,1900,0.1,-,-,-,2400,2400,2400,2400,1900,1900,2400,2400,1600,1900,1600,1600
anntaylot,0.39,58,-,58,0.62,-,-,-,58,36,58,46,28,46,58,91,58,73,73,58
moda sport,0.22,12100,-,720,0.5,-,-,-,260,320,320,480,720,720,720,3600,390,320,320,390
bendels jewelry,0.32,58,-,58,0.39,-,-,-,36,22,36,73,73,73,91,73,36,36,28,91
sharp mobilon hc 4600,0.64,73,-,36,0.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
loft ann tylor,0.13,880,-,720,0.26,-,-,-,720,720,720,720,590,720,880,880,720,880,720,720
sun spa resort,0.34,60500,-,6600,1.07,-,-,-,6600,6600,4400,6600,6600,8100,5400,4400,5400,5400,6600,8100
primp ice cream,0.22,210,-,140,0.35,-,-,-,73,36,58,91,170,210,170,110,170,170,170,210
remix collection,0.05,27100,-,3600,0.68,-,-,-,2900,3600,2900,4400,4400,4400,2900,2900,2900,2900,2900,3600
fashion 2011 for women,0.59,22200,-,6600,0.96,-,-,-,9900,12100,12100,18100,14800,12100,3600,1900,1300,1000,720,390
loft for teachers,0.07,1900,-,1600,0.49,-,-,-,1900,1600,1300,1600,1300,1600,1600,1900,1900,1900,1900,1300
scroll shop,0.19,8100,-,2900,0.55,-,-,-,2400,2400,2400,3600,3600,4400,3600,2900,2900,2400,2400,2400
primp bunny,0.4,170,-,91,0.46,-,-,-,36,5,36,91,91,91,140,73,140,91,91,110
pv 6000,0.51,1600,-,390,0.97,-,-,-,260,260,320,390,390,480,390,390,320,390,390,390
barbara bonnie,0.07,2400,-,720,0.5,-,-,-,390,720,720,720,1000,1000,590,880,720,880,590,480
coup de chance,0.01,5400,-,58,0.1,-,-,-,36,28,36,91,91,91,58,73,73,58,58,58
the loft mastercard,0.06,5400,-,5400,3.12,-,-,-,8100,6600,5400,5400,5400,5400,5400,5400,5400,4400,4400,4400
henri bendel wellies,0.64,58,-,58,0.74,-,-,-,12,28,36,46,58,110,110,36,91,36,46,36
khach san da lat,0.04,33100,-,210,0.49,-,-,-,320,210,170,260,210,390,210,210,140,110,170,170
appleseeds catalogue,0.44,880,-,880,0.17,-,-,-,880,720,720,880,720,880,720,880,880,880,720,590
black market white store,0.23,2900,-,2900,0.31,-,-,-,2400,2900,2900,2900,2400,2400,2900,2900,2400,2400,2400,2400
pantalones dickies,0.82,1600,-,73,1.05,-,-,-,58,73,91,91,73,91,46,46,46,46,91,73
maternity stores in ma,0.64,210,-,210,1.02,-,-,-,-,-,-,260,210,210,210,210,210,210,210,210
sandro de america songs,0.1,58,-,46,0.27,-,-,-,46,46,58,58,36,46,22,36,46,46,58,36
black and white market locations,0.18,1600,-,1600,0.44,-,-,-,2400,2400,2400,2400,1600,1600,1900,1300,1000,880,1000,880
khach san vietnam,0.06,4400,-,210,0.62,-,-,-,140,140,110,210,210,210,210,210,260,260,210,170
arty the astronaut games,0.26,210,-,210,0.79,-,-,-,58,91,110,170,210,210,210,320,320,320,170,91
hc sharp,0.36,1900,-,590,0.6,-,-,-,390,390,390,590,590,720,590,720,590,590,720,590
primp bunny thermal,0.44,58,-,36,0.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
secret garden piano,0.1,6600,-,1000,0.38,-,-,-,1000,1300,1000,1600,1600,1900,1000,720,880,480,720,590
hc 4600,0.29,390,-,170,0.57,-,-,-,73,58,73,170,320,260,260,260,170,170,170,210
the loft shoes,0.31,2900,-,1900,0.49,-,-,-,2400,2400,2400,2900,2400,2400,1600,1600,1600,1600,1600,1600
anne tylor loft,0.11,720,-,590,0.16,-,-,-,590,590,590,590,480,590,590,720,720,720,590,590
sharp hc-4500,0.43,210,-,46,0.44,-,-,-,12,28,0,46,73,58,73,58,73,58,91,58
rock soda,0.09,22200,-,8100,0.73,-,-,-,6600,8100,8100,9900,9900,9900,8100,8100,8100,6600,6600,6600
modstrom,0.04,27100,-,58,1.05,-,-,-,91,73,73,91,36,46,58,110,73,46,36,36
abaya 2011,0.72,5400,-,210,0.39,-,-,-,480,480,480,390,210,170,58,22,28,12,36,0
ropa dama,0.43,49500,-,880,0.34,-,-,-,720,880,720,1000,1000,880,880,1000,880,880,880,880
primp ice cream hoodie,0.48,46,-,46,0.36,-,-,-,46,12,16,28,46,58,36,22,58,58,46,73
the loft store locations,0.24,1600,-,1300,0.38,-,-,-,1900,1600,1300,1600,1000,1300,1900,1300,1300,1600,1000,1300
zoompy,0.04,27100,-,210,0.16,-,-,-,390,210,170,320,320,140,140,170,170,140,170,170
may ao cuoi,0.17,5400,-,140,0.16,-,-,-,-,170,170,170,170,170,91,110,140,91,140,140
appleseed clothing catalog,0.65,58,-,58,0.56,-,-,-,-,36,46,110,91,140,140,28,36,46,36,22
loft stores locations,0.15,4400,-,4400,0.29,-,-,-,5400,4400,3600,4400,2900,4400,5400,4400,4400,4400,3600,3600
ropa ala moda 2010,0.36,210,-,28,0.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sharp mobilon 4600,0.59,110,-,58,0.34,-,-,-,16,22,16,46,73,91,110,58,58,73,73,73
black house white market shoes,0.37,720,-,590,0.46,-,-,-,480,590,720,880,590,720,590,590,590,590,590,480
wedding planner vietnam,0.23,590,-,91,2.22,-,-,-,91,73,110,170,140,140,46,58,58,73,73,46
primp anchor thermal,0.48,28,-,22,0.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
anntaylorfactory,0.43,91,-,73,0.66,-,-,-,73,58,110,110,73,46,73,91,91,73,58,58
