Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
famous footwear,0.27,673000,-,673000,0.18,-,-,-,550000,673000,673000,673000,450000,550000,823000,823000,550000,550000,673000,450000
new balance,0.77,2240000,-,1220000,1.24,-,-,-,1220000,1220000,1220000,1500000,1000000,1220000,1000000,1000000,1000000,1000000,1220000,1000000
skechers,0.88,1220000,-,673000,0.9,-,-,-,550000,673000,673000,673000,673000,673000,673000,550000,550000,550000,673000,673000
jordan shoes,0.56,823000,-,550000,0.37,-,-,-,550000,550000,550000,823000,823000,673000,823000,673000,550000,368000,450000,368000
jessica simpson shoes,0.64,165000,-,135000,0.6,-,-,-,-,165000,165000,165000,135000,110000,165000,165000,135000,135000,110000,90500
naturalizer,0.84,246000,-,201000,0.74,-,-,-,201000,201000,201000,201000,201000,201000,201000,246000,246000,201000,165000,165000
birkenstock,0.96,1220000,-,301000,0.94,-,-,-,450000,368000,301000,301000,201000,201000,246000,246000,246000,246000,301000,368000
dansko,1,550000,-,368000,1.26,-,-,-,301000,368000,368000,450000,450000,450000,450000,450000,450000,368000,301000,301000
running shoes,0.7,1500000,-,1000000,1.32,-,-,-,1000000,1000000,1000000,1220000,1000000,1000000,823000,823000,823000,823000,1000000,823000
jeffrey campbell,0.82,368000,-,246000,0.98,-,-,-,246000,301000,246000,246000,246000,246000,246000,246000,246000,201000,165000,135000
vans shoes,0.61,450000,-,201000,0.57,-,-,-,165000,201000,201000,246000,201000,201000,301000,246000,165000,165000,246000,201000
shoes online,0.73,1500000,-,368000,0.77,-,-,-,368000,368000,368000,450000,368000,368000,450000,368000,368000,301000,301000,301000
keen shoes,1,165000,-,135000,1.36,-,-,-,135000,135000,110000,135000,110000,110000,110000,135000,135000,135000,165000,165000
cavenders,0.18,110000,-,110000,0.24,-,-,-,90500,90500,90500,135000,135000,135000,201000,165000,110000,90500,74000,60500
dr martens,0.59,1220000,-,301000,0.93,-,-,-,201000,246000,246000,301000,301000,368000,450000,368000,301000,301000,246000,201000
keds,0.77,450000,-,165000,0.79,-,-,-,165000,201000,201000,201000,165000,135000,135000,135000,165000,165000,201000,165000
moccasins,0.52,550000,-,368000,0.98,-,-,-,301000,368000,301000,368000,368000,368000,673000,673000,550000,368000,301000,246000
dillards shoes,0.27,60500,-,60500,0.26,-,-,-,60500,74000,74000,40500,60500,90500,90500,74000,60500,49500,40500,40500
doc martens,0.58,1000000,-,301000,0.94,-,-,-,201000,201000,201000,301000,301000,368000,368000,368000,301000,246000,246000,201000
high heels,0.51,1830000,-,673000,0.79,-,-,-,550000,673000,673000,823000,673000,673000,673000,673000,673000,673000,550000,550000
sanuk,0.96,201000,-,135000,0.85,-,-,-,201000,165000,165000,135000,110000,90500,135000,110000,110000,110000,135000,135000
stuart weitzman,1,201000,-,135000,2.02,-,-,-,135000,135000,135000,135000,135000,165000,165000,165000,135000,135000,135000,135000
shoe stores,0.45,1220000,-,673000,0.83,-,-,-,673000,673000,673000,823000,823000,823000,823000,673000,673000,673000,673000,550000
cheap shoes,0.91,823000,-,550000,0.87,-,-,-,550000,550000,550000,673000,673000,550000,550000,550000,550000,450000,550000,450000
sperrys,0.47,165000,-,135000,0.5,-,-,-,165000,165000,201000,201000,135000,110000,165000,165000,135000,110000,135000,90500
wedding shoes,0.82,823000,-,368000,0.98,-,-,-,-,368000,450000,450000,450000,450000,246000,246000,301000,301000,301000,301000
saucony,0.78,450000,-,246000,1.04,-,-,-,246000,246000,246000,301000,246000,201000,201000,201000,201000,201000,246000,201000
minnetonka,0.36,550000,-,450000,1.14,-,-,-,450000,368000,368000,450000,450000,450000,550000,550000,450000,368000,368000,368000
