Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
call of duty black ops,0.08,9140000,-,2740000,0.52,-,-,-,1830000,1830000,1830000,2240000,2740000,4090000,4090000,9140000,2240000,1830000,1000000,550000
scrabble,0.08,6120000,-,4090000,0.43,-,-,-,5000000,5000000,6120000,6120000,4090000,4090000,3350000,3350000,2740000,2740000,2740000,2740000
roger hargreaves,0.09,3350000,-,450000,0.5,-,-,-,8100,5000000,1000,1600,1600,1600,1600,1600,1600,1300,1300,1300
scary maze game,0.1,1000000,-,550000,0.1,-,-,-,-,550000,550000,550000,450000,550000,550000,550000,673000,450000,450000,450000
tosh.0,0,368000,-,368000,0.1,-,-,-,301000,301000,246000,368000,368000,450000,246000,246000,301000,550000,450000,368000
plants vs zombies,0.4,4090000,-,823000,0.6,-,-,-,1000000,1000000,823000,823000,823000,823000,823000,673000,673000,673000,550000,450000
family feud,0.31,1000000,-,823000,0.23,-,-,-,673000,673000,673000,823000,1000000,1000000,1220000,1000000,823000,823000,823000,1000000
text twist,0.14,1000000,-,673000,0.28,-,-,-,550000,673000,673000,823000,673000,673000,823000,673000,673000,550000,550000,550000
spongebob games,0.16,1500000,-,550000,0.22,-,-,-,550000,550000,550000,550000,550000,673000,550000,550000,450000,450000,550000,673000
bejeweled,0.51,3350000,-,1000000,0.58,-,-,-,823000,823000,823000,1000000,1000000,1220000,1220000,1000000,1000000,1000000,1000000,1000000
project runway,0.06,1000000,-,673000,0.18,-,-,-,368000,368000,301000,301000,301000,368000,368000,673000,2240000,1500000,1000000,450000
dominoes,0.12,6120000,-,3350000,0.21,-,-,-,3350000,3350000,3350000,3350000,3350000,3350000,3350000,3350000,3350000,2740000,2240000,2240000
paranormal activity 2,0.02,1830000,-,550000,0.94,-,-,-,74000,90500,135000,201000,450000,368000,301000,823000,2740000,246000,201000,368000
horse games,0.31,1220000,-,450000,0.31,-,-,-,450000,450000,450000,550000,450000,550000,550000,550000,450000,368000,450000,450000
cool games,0.05,9140000,-,5000000,0.53,-,-,-,5000000,9140000,7480000,7480000,6120000,5000000,5000000,5000000,4090000,2740000,1220000,1000000
lyrics search,0.15,673000,-,450000,0.12,-,-,-,301000,368000,450000,368000,368000,550000,550000,550000,550000,450000,368000,368000
pixie hollow,0.1,450000,-,368000,0.12,-,-,-,-,246000,246000,301000,450000,550000,246000,246000,246000,246000,368000,673000
photo editor,0.37,3350000,-,1000000,0.91,-,-,-,1220000,1000000,1000000,1000000,1000000,1220000,1220000,1000000,1000000,823000,823000,823000
nickelodeon games,0.05,673000,-,301000,0.18,-,-,-,368000,301000,246000,301000,301000,301000,301000,246000,201000,201000,246000,450000
bookworm,0.31,1000000,-,368000,0.35,-,-,-,301000,368000,368000,368000,368000,368000,368000,368000,368000,301000,301000,301000
waiting for superman,0.16,368000,-,301000,1.11,-,-,-,74000,110000,165000,246000,301000,201000,201000,368000,823000,673000,49500,33100
mmorpg,0.22,7480000,-,1500000,0.5,-,-,-,1830000,1830000,1500000,1830000,1500000,1830000,1500000,1500000,1500000,1500000,1500000,1500000
xbox kinect,0.6,1500000,-,550000,1.38,-,-,-,246000,246000,246000,368000,368000,673000,1830000,2240000,301000,135000,110000,135000
dora games,0.22,2240000,-,301000,0.15,-,-,-,368000,368000,368000,368000,368000,368000,368000,301000,246000,246000,301000,301000
used books,0.65,823000,-,673000,1.64,-,-,-,550000,550000,450000,550000,550000,1000000,550000,450000,550000,673000,1000000,673000
bejeweled 2,0.54,673000,-,201000,0.55,-,-,-,135000,165000,165000,165000,201000,246000,246000,246000,246000,246000,246000,301000
red dead redemption,0.02,4090000,-,1220000,0.5,-,-,-,823000,823000,823000,1000000,1000000,1500000,1500000,1220000,1500000,1220000,1500000,2240000
burn notice,0.06,823000,-,450000,0.19,-,-,-,550000,301000,450000,246000,301000,368000,823000,550000,246000,368000,823000,823000
glee episodes,0.08,1000000,-,550000,0.24,-,-,-,368000,673000,550000,673000,823000,550000,673000,673000,823000,673000,301000,301000
new dvd releases,0.07,823000,-,450000,0.63,-,-,-,450000,450000,450000,450000,450000,550000,550000,450000,450000,450000,450000,450000
tory burch,0.89,823000,-,550000,1.34,-,-,-,673000,823000,673000,673000,550000,550000,823000,673000,450000,450000,450000,368000
mp3 converter,0.09,7480000,-,1220000,0.37,-,-,-,1500000,1830000,1830000,1830000,1220000,1500000,1220000,1220000,1000000,823000,823000,823000
jigsaw puzzles,0.46,1000000,-,550000,0.46,-,-,-,450000,450000,450000,550000,550000,550000,673000,550000,450000,450000,450000,450000
