Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
24 hour fitness,0.11,1220000,-,1220000,0.31,-,-,-,1220000,1220000,1000000,1220000,1220000,1500000,1220000,1000000,1000000,1000000,1000000,1000000
tory burch,0.89,823000,-,550000,1.34,-,-,-,673000,823000,673000,673000,550000,550000,823000,673000,450000,450000,450000,368000
hairstyles,0.17,7480000,-,4090000,0.65,-,-,-,-,-,5000000,5000000,4090000,4090000,3350000,3350000,4090000,3350000,4090000,4090000
bmi calculator,0.18,1000000,-,450000,0.36,-,-,-,550000,450000,450000,550000,450000,550000,368000,368000,368000,368000,368000,368000
as seen on tv,0.59,550000,-,450000,0.63,-,-,-,450000,368000,368000,450000,368000,550000,673000,450000,368000,368000,368000,450000
hairstyles 2011,0.25,1220000,-,673000,0.52,-,-,-,1500000,1830000,1500000,1500000,1220000,673000,165000,90500,49500,27100,18100,8100
trampoline,0.74,1830000,-,673000,1.52,-,-,-,823000,823000,823000,673000,550000,550000,673000,673000,450000,450000,550000,550000
rosacea,0.41,823000,-,301000,2.65,-,-,-,246000,301000,301000,368000,368000,368000,246000,246000,246000,246000,201000,246000
plantar fasciitis,0.67,550000,-,301000,1.23,-,-,-,368000,368000,301000,368000,301000,301000,246000,301000,368000,368000,301000,301000
bare minerals,0.68,368000,-,246000,1.76,-,-,-,201000,201000,201000,246000,246000,301000,301000,246000,201000,201000,201000,201000
dolce and gabbana,0.68,2740000,-,450000,1.09,-,-,-,450000,450000,450000,550000,550000,550000,673000,550000,450000,450000,450000,450000
wigs,0.6,2740000,-,1500000,0.85,-,-,-,-,1500000,1220000,1830000,1500000,1830000,1500000,1500000,3350000,1830000,1500000,1220000
diapers,0.42,3350000,-,2240000,1.04,-,-,-,2240000,2240000,2240000,2740000,2740000,2740000,2240000,2240000,2240000,2240000,2240000,2240000
hives,0.14,1220000,-,673000,0.77,-,-,-,673000,673000,673000,673000,673000,673000,550000,550000,550000,550000,550000,550000
pilates,0.31,4090000,-,1000000,1.4,-,-,-,1000000,823000,823000,1220000,1220000,1220000,823000,823000,1000000,1000000,823000,823000
bikram yoga,0.13,823000,-,450000,1.33,-,-,-,450000,450000,450000,450000,450000,550000,368000,368000,368000,368000,368000,368000
laser hair removal,0.82,823000,-,450000,8.73,-,-,-,550000,550000,450000,550000,550000,550000,550000,450000,450000,450000,450000,368000
hairstyles 2010,0.17,1000000,-,550000,0.79,-,-,-,18100,22200,33100,60500,201000,550000,823000,1000000,1000000,1000000,1000000,1000000
moroccan oil,0.91,368000,-,135000,1.17,-,-,-,165000,165000,135000,165000,165000,165000,135000,135000,135000,135000,135000,135000
parfum,0.56,3350000,-,135000,1.28,-,-,-,-,-,74000,450000,368000,90500,165000,110000,90500,90500,74000,74000
treadmill,0.65,2240000,-,1220000,2.82,-,-,-,823000,823000,1000000,1220000,1500000,1830000,1500000,1500000,1000000,1000000,823000,823000
piercings,0.12,7480000,-,2740000,0.56,-,-,-,2740000,2740000,2740000,3350000,2740000,3350000,2740000,2740000,2740000,2240000,2740000,2740000
24 hour fitness locations,0.17,74000,-,74000,0.4,-,-,-,74000,60500,60500,40500,49500,110000,90500,90500,74000,74000,90500,90500
