Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
spanish translation,0.04,5000000,-,4090000,0.18,-,-,-,2740000,4090000,4090000,4090000,4090000,5000000,5000000,5000000,5000000,5000000,3350000,2740000
google translator,0.09,4090000,-,673000,0.13,-,-,-,-,-,823000,823000,823000,823000,823000,1000000,823000,673000,450000,450000
coupons,0.57,24900000,-,24900000,0.82,-,-,-,-,-,30400000,24900000,20400000,24900000,30400000,24900000,20400000,20400000,20400000,20400000
english to spanish translation,0.06,2740000,-,2240000,0.15,-,-,-,1500000,1830000,1830000,1830000,2240000,2740000,2740000,3350000,2740000,2740000,1830000,1500000
ulta,0.15,1220000,-,823000,0.15,-,-,-,823000,823000,823000,823000,823000,823000,1220000,823000,673000,673000,673000,550000
black friday 2010,0.15,1830000,-,1500000,0.57,-,-,-,8100,6600,6600,14800,33100,49500,135000,20400000,1000000,165000,40500,33100
black friday,0.03,6120000,-,5000000,0.77,-,-,-,550000,550000,1220000,2740000,1220000,1000000,1000000,45500000,1830000,368000,135000,135000
kinkos,0.17,1500000,-,1220000,0.76,-,-,-,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1220000,1000000
business cards,0.79,3350000,-,1830000,5.76,-,-,-,1830000,1830000,1830000,2240000,1830000,1830000,1500000,1830000,1830000,1830000,1500000,1500000
silver prices,0.63,1220000,-,823000,0.82,-,-,-,823000,1500000,1500000,1220000,823000,823000,673000,673000,550000,450000,301000,301000
printable coupons,0.51,4090000,-,4090000,0.74,-,-,-,6120000,6120000,5000000,4090000,3350000,4090000,6120000,4090000,3350000,2740000,3350000,2740000
spanish translator,0.03,4090000,-,3350000,0.18,-,-,-,2240000,2740000,2740000,3350000,3350000,4090000,4090000,4090000,5000000,4090000,2240000,2240000
black friday 2010 ads,0.1,450000,-,450000,0.46,-,-,-,1600,1000,1300,1900,3600,6600,22200,5000000,201000,22200,4400,1900
