Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
reverse phone lookup,0.65,1830000,-,1830000,0.6,-,-,-,1830000,1500000,1500000,1830000,1500000,1830000,1830000,1830000,1830000,1830000,1500000,1500000
google voice,0.05,2740000,-,1830000,0.13,-,-,-,-,2240000,2240000,2240000,1830000,2240000,1830000,1830000,1830000,1830000,1830000,1500000
garmin,0.52,13600000,-,3350000,0.67,-,-,-,3350000,3350000,2740000,3350000,2740000,3350000,4090000,4090000,2740000,3350000,3350000,3350000
phone number lookup,0.77,1220000,-,1000000,0.71,-,-,-,1000000,1000000,823000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,823000,1000000
google translator,0.09,4090000,-,673000,0.13,-,-,-,-,-,823000,823000,823000,823000,823000,1000000,823000,673000,450000,450000
microsoft word,0.34,6120000,-,2240000,0.53,-,-,-,-,2240000,2240000,2740000,2740000,2740000,2240000,2740000,2740000,2740000,1830000,1500000
laptops,0.7,6120000,-,2240000,1.9,-,-,-,-,-,1830000,2240000,2240000,2740000,3350000,3350000,2240000,2240000,2240000,2240000
bejeweled,0.51,3350000,-,1000000,0.58,-,-,-,823000,823000,823000,1000000,1000000,1220000,1220000,1000000,1000000,1000000,1000000,1000000
spell check,0.27,1000000,-,450000,0.55,-,-,-,450000,450000,450000,550000,550000,550000,450000,450000,550000,550000,450000,368000
droid,0.17,11100000,-,9140000,1.02,-,-,-,-,7480000,6120000,7480000,7480000,9140000,9140000,9140000,9140000,9140000,11100000,11100000
vizio,0.44,1500000,-,1220000,0.81,-,-,-,1000000,1000000,1000000,1220000,1220000,1830000,2240000,2240000,1000000,1000000,823000,673000
xbox kinect,0.6,1500000,-,550000,1.38,-,-,-,246000,246000,246000,368000,368000,673000,1830000,2240000,301000,135000,110000,135000
ventrilo,0.15,1830000,-,450000,0.98,-,-,-,450000,450000,450000,550000,550000,673000,550000,450000,450000,450000,550000,550000
bejeweled 2,0.54,673000,-,201000,0.55,-,-,-,135000,165000,165000,165000,201000,246000,246000,246000,246000,246000,246000,301000
android tablet,0.64,1500000,-,550000,1.23,-,-,-,673000,673000,550000,673000,673000,673000,1000000,823000,450000,368000,301000,246000
cloud computing,0.82,1220000,-,368000,10.54,-,-,-,368000,368000,450000,450000,368000,368000,368000,368000,368000,301000,246000,201000
nexus s,0.27,1500000,-,368000,1.52,-,-,-,550000,823000,550000,550000,450000,550000,1220000,165000,6600,4400,5400,6600
netbook,0.63,7480000,-,1500000,1.38,-,-,-,1000000,1000000,1000000,1500000,1500000,1500000,2740000,2740000,1500000,1500000,1830000,1500000
myverizon,0.18,246000,-,246000,0.45,-,-,-,301000,301000,246000,246000,301000,301000,246000,246000,246000,201000,201000,201000
powerpoint,0.18,30400000,-,5000000,0.88,-,-,-,3350000,6120000,6120000,7480000,6120000,6120000,4090000,6120000,6120000,5000000,3350000,2740000
dead space 2,0.01,2240000,-,450000,1.18,-,-,-,246000,301000,368000,673000,1500000,1500000,201000,90500,110000,90500,60500,60500
wireless router,0.34,2740000,-,1220000,0.97,-,-,-,1000000,1000000,1000000,1220000,1220000,1500000,1500000,1220000,1000000,1220000,1220000,1000000
