Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
carrabas,0.14,165000,-,135000,0.39,-,-,-,90500,165000,135000,135000,165000,201000,165000,135000,135000,110000,135000,110000
chucky cheese,0.19,301000,-,301000,0.24,-,-,-,246000,301000,301000,368000,368000,450000,246000,246000,246000,246000,246000,246000
benihana,0.17,301000,-,246000,0.58,-,-,-,246000,246000,246000,301000,301000,301000,301000,246000,246000,201000,201000,201000
bonefish grill,0.2,246000,-,246000,0.28,-,-,-,246000,246000,246000,246000,301000,301000,301000,201000,201000,165000,201000,201000
paleo diet,0.23,246000,-,165000,0.21,-,-,-,246000,201000,246000,246000,165000,246000,110000,110000,110000,110000,90500,90500
mcdonalds application,0.52,165000,-,135000,0.43,-,-,-,165000,165000,301000,165000,110000,135000,90500,110000,110000,110000,135000,135000
mediterranean diet,0.27,246000,-,110000,0.91,-,-,-,110000,110000,135000,165000,110000,135000,90500,90500,110000,110000,110000,110000
seamless web,0.12,110000,-,110000,0.13,-,-,-,110000,110000,110000,135000,110000,110000,110000,90500,90500,74000,74000,74000
chuckie cheese,0.2,301000,-,301000,0.24,-,-,-,246000,246000,301000,368000,368000,450000,246000,246000,246000,246000,246000,246000
ruby tuesday menu,0.09,60500,-,60500,0.2,-,-,-,60500,74000,60500,74000,60500,74000,49500,60500,60500,49500,49500,60500
tgi fridays menu,0.12,90500,-,74000,0.12,-,-,-,74000,74000,90500,110000,90500,90500,74000,74000,74000,60500,74000,60500
mexican food,0.1,1220000,-,1000000,1.19,-,-,-,1000000,1220000,1000000,1500000,1220000,1500000,1000000,1000000,1000000,1000000,1000000,823000
ruth chris,0.18,368000,-,301000,0.54,-,-,-,301000,301000,301000,301000,450000,368000,450000,301000,301000,246000,246000,246000
things to do in nyc,0.61,165000,-,165000,1.57,-,-,-,201000,135000,135000,165000,135000,135000,165000,135000,135000,135000,135000,165000
popeyes menu,0.16,40500,-,40500,0.12,-,-,-,49500,40500,40500,49500,33100,33100,33100,40500,33100,33100,27100,27100
bento,0.27,1830000,-,246000,0.77,-,-,-,246000,246000,246000,246000,201000,246000,201000,201000,246000,246000,301000,201000
vegan diet,0.33,246000,-,135000,0.93,-,-,-,135000,135000,165000,201000,201000,165000,110000,135000,135000,135000,135000,110000
cracker barrel locations,0.09,49500,-,40500,0.19,-,-,-,40500,40500,33100,18100,27100,49500,60500,60500,49500,40500,49500,49500
genghis grill,0.06,60500,-,60500,0.29,-,-,-,74000,74000,60500,60500,60500,60500,49500,49500,49500,40500,40500,40500
restaurant week nyc,0.17,74000,-,74000,0.26,-,-,-,40500,9900,9900,18100,135000,246000,12100,18100,27100,33100,74000,246000
tabc,0.62,90500,-,74000,2.45,-,-,-,74000,90500,74000,90500,74000,74000,60500,60500,60500,60500,60500,60500
longhorn steakhouse menu,0.13,27100,-,27100,0.25,-,-,-,27100,27100,18100,12100,27100,40500,33100,22200,27100,22200,22200,22200
fondue,0.2,1500000,-,368000,0.6,-,-,-,201000,246000,246000,301000,550000,450000,823000,368000,301000,246000,246000,201000
redlobster,0.21,1000000,-,823000,0.46,-,-,-,1000000,823000,823000,1220000,1000000,1000000,823000,673000,673000,673000,673000,673000
mcdonalds monopoly 2010,0.03,60500,-,40500,0.1,-,-,-,91,140,260,260,480,1900,5400,49500,368000,5400,1000,720
food delivery,0.5,1500000,-,1000000,2.22,-,-,-,823000,823000,823000,1220000,1220000,1220000,1000000,823000,823000,823000,673000,673000
grub hub,0.12,110000,-,90500,0.13,-,-,-,90500,110000,110000,110000,90500,90500,74000,74000,74000,60500,49500,40500
mcdonalds application online,0.51,49500,-,40500,0.38,-,-,-,33100,33100,60500,33100,33100,49500,33100,40500,33100,33100,33100,33100
raw food diet,0.25,110000,-,74000,1.09,-,-,-,90500,74000,74000,90500,90500,90500,74000,74000,74000,74000,74000,74000
hibachi,0.16,301000,-,246000,0.73,-,-,-,-,301000,301000,368000,368000,301000,246000,246000,246000,201000,201000,201000
carrabbas,0.14,368000,-,368000,0.39,-,-,-,301000,368000,368000,368000,450000,450000,450000,301000,301000,246000,301000,246000
chuckecheese,0.16,673000,-,550000,0.22,-,-,-,823000,550000,550000,673000,673000,823000,450000,450000,450000,450000,450000,550000
red robin menu,0.17,27100,-,27100,0.1,-,-,-,40500,40500,40500,49500,33100,22200,18100,18100,18100,14800,12100,14800
