Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
baby names,0.19,6120000,-,3350000,0.28,-,-,-,3350000,3350000,3350000,3350000,3350000,4090000,3350000,3350000,3350000,3350000,2740000,2740000
math games,0.09,9140000,-,6120000,0.44,-,-,-,6120000,11100000,7480000,9140000,7480000,6120000,6120000,6120000,5000000,4090000,1500000,1220000
name meanings,0.11,3350000,-,1220000,0.28,-,-,-,1000000,1220000,1220000,1220000,1220000,1500000,1220000,1220000,1220000,1220000,1000000,1000000
ovulation calculator,0.19,450000,-,246000,0.71,-,-,-,201000,201000,201000,246000,246000,301000,246000,246000,246000,246000,246000,246000
ovulation calendar,0.2,823000,-,450000,0.71,-,-,-,368000,450000,450000,450000,450000,550000,450000,450000,450000,450000,450000,450000
global warming,0.31,2740000,-,1000000,1.17,-,-,-,673000,1220000,1220000,1220000,1220000,1000000,1000000,1220000,1000000,823000,450000,450000
daily horoscope,0.13,1220000,-,550000,0.37,-,-,-,550000,550000,550000,673000,550000,673000,550000,550000,550000,550000,550000,450000
due date calculator,0.16,368000,-,246000,0.35,-,-,-,246000,246000,246000,301000,246000,301000,246000,301000,246000,246000,246000,246000
medicaid,0.29,2240000,-,2240000,1.64,-,-,-,2240000,2240000,2240000,2240000,2240000,2240000,1830000,2240000,2240000,1830000,1830000,1830000
pregnancy symptoms,0.21,1830000,-,823000,0.5,-,-,-,1000000,823000,823000,1000000,823000,1000000,823000,1000000,1000000,823000,823000,823000
signs of pregnancy,0.22,1500000,-,1000000,0.49,-,-,-,1000000,1000000,823000,1000000,1000000,1220000,1000000,1000000,1000000,1000000,823000,823000
baby girl names,0.19,1000000,-,450000,0.26,-,-,-,450000,450000,450000,450000,450000,550000,450000,450000,450000,368000,368000,368000
horoscope signs,0.12,2240000,-,1500000,0.41,-,-,-,823000,823000,823000,1220000,1500000,9140000,823000,823000,823000,823000,673000,823000
oil spill,0.23,1830000,-,1220000,2.65,-,-,-,301000,673000,673000,673000,550000,673000,673000,1000000,1500000,1830000,1500000,5000000
math worksheets,0.33,1220000,-,823000,0.43,-,-,-,673000,823000,673000,1000000,823000,823000,673000,823000,823000,823000,550000,450000
