Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
fafsa,0.13,2740000,-,2740000,0.3,-,-,-,2740000,2740000,3350000,4090000,5000000,4090000,1500000,1220000,1000000,1220000,1830000,1500000
aetna,0.22,1830000,-,1000000,1.9,-,-,-,1000000,1000000,1000000,1220000,1220000,1220000,1000000,1220000,1220000,1000000,1000000,823000
kaiser permanente,0.23,823000,-,823000,2.41,-,-,-,823000,823000,673000,823000,823000,1000000,823000,823000,1000000,823000,823000,823000
fasfa,0.11,368000,-,368000,0.19,-,-,-,368000,368000,450000,550000,550000,550000,201000,165000,135000,165000,368000,450000
auto loan calculator,0.35,246000,-,246000,1.43,-,-,-,246000,246000,201000,246000,246000,246000,201000,201000,201000,201000,201000,201000
capitol one,0.13,1500000,-,1220000,0.82,-,-,-,1500000,1220000,1220000,1220000,1220000,1500000,1500000,1220000,1000000,1000000,1000000,1220000
payday loans,0.93,1500000,-,823000,11.93,-,-,-,823000,673000,550000,673000,673000,1000000,1220000,1000000,823000,823000,823000,823000
car loan calculator,0.45,301000,-,165000,1.1,-,-,-,201000,201000,201000,201000,165000,165000,165000,165000,165000,165000,165000,165000
nebraska furniture mart,0.13,201000,-,165000,0.1,-,-,-,165000,165000,165000,165000,165000,201000,201000,246000,135000,135000,135000,135000
dental insurance,0.85,673000,-,550000,4.43,-,-,-,550000,450000,450000,550000,673000,823000,550000,673000,673000,550000,550000,550000
stock quotes,0.17,1830000,-,1220000,2.08,-,-,-,1220000,1220000,1500000,1830000,1500000,1830000,1220000,1220000,1220000,1220000,1220000,1220000
mastercard,0.36,4090000,-,1000000,4.15,-,-,-,1000000,1000000,823000,1000000,1000000,1000000,1500000,1000000,1000000,823000,1000000,823000
salary calculator,0.24,550000,-,201000,0.56,-,-,-,246000,246000,201000,246000,201000,246000,201000,201000,201000,201000,201000,201000
tax act,0.14,1220000,-,550000,0.87,-,-,-,201000,246000,1000000,1000000,1830000,1500000,450000,201000,201000,201000,165000,165000
penny stocks,0.86,450000,-,301000,8.02,-,-,-,246000,301000,301000,368000,368000,450000,301000,246000,301000,246000,201000,201000
irs forms,0.18,1000000,-,1000000,0.99,-,-,-,550000,550000,2240000,1830000,2240000,1830000,673000,450000,550000,450000,368000,450000
loan calculator,0.42,1830000,-,1000000,1.34,-,-,-,1000000,1000000,1000000,1220000,1000000,1000000,823000,1000000,1000000,1000000,1000000,1000000
suntrust online banking,0.13,301000,-,301000,0.19,-,-,-,368000,301000,246000,246000,301000,301000,165000,165000,301000,368000,368000,301000
stock market,0.26,5000000,-,2240000,4.2,-,-,-,1830000,1830000,2240000,2740000,2240000,2740000,2240000,2240000,2240000,1830000,1500000,1500000
credit report,0.85,3350000,-,2740000,7.16,-,-,-,2740000,2740000,2240000,2740000,2740000,2740000,2240000,2240000,2240000,2240000,2240000,2240000
scholarships,0.51,6120000,-,3350000,2.74,-,-,-,2740000,3350000,3350000,5000000,5000000,6120000,3350000,3350000,3350000,2740000,2240000,2240000
cigna,0.19,1000000,-,673000,1.59,-,-,-,673000,673000,673000,823000,673000,823000,550000,673000,673000,550000,550000,550000
student loans,0.51,2740000,-,1830000,6.48,-,-,-,1830000,1830000,1830000,1830000,1830000,2240000,1500000,1500000,1500000,1830000,2240000,2240000
annual credit report,0.62,450000,-,368000,4.3,-,-,-,368000,450000,450000,450000,450000,550000,301000,368000,368000,368000,368000,368000
financial aid,0.27,1500000,-,1220000,4.56,-,-,-,1220000,1220000,1220000,1500000,1220000,1500000,1000000,823000,823000,1000000,1500000,1220000
exchange rates,0.28,2240000,-,368000,1.31,-,-,-,-,-,301000,301000,301000,368000,301000,368000,368000,368000,301000,368000
amortization calculator,0.36,301000,-,246000,0.62,-,-,-,165000,165000,201000,246000,246000,301000,246000,301000,301000,246000,301000,301000
credit score,0.7,1830000,-,1500000,9.31,-,-,-,1500000,1500000,1500000,1830000,1500000,1830000,1220000,1220000,1500000,1500000,1500000,1500000
bankrate,0.3,368000,-,301000,0.54,-,-,-,301000,301000,246000,301000,301000,301000,301000,301000,368000,301000,368000,301000
mortgage payment calculator,0.69,301000,-,201000,1.01,-,-,-,165000,165000,165000,201000,165000,201000,165000,201000,246000,201000,246000,246000
