Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
dairy queen,0.28,1000000,-,673000,0.16,-,-,-,1000000,823000,823000,823000,550000,550000,450000,450000,550000,550000,673000,673000
chicken recipes,0.15,6120000,-,4090000,0.73,-,-,-,3350000,3350000,3350000,4090000,5000000,6120000,4090000,4090000,4090000,3350000,3350000,2740000
betty crocker,0.23,550000,-,450000,0.2,-,-,-,450000,368000,450000,450000,450000,450000,823000,673000,450000,368000,301000,301000
omaha steaks,0.46,246000,-,201000,0.5,-,-,-,246000,165000,201000,135000,135000,201000,673000,201000,135000,110000,110000,110000
crock pot recipes,0.17,1000000,-,823000,0.45,-,-,-,450000,550000,550000,823000,1000000,1500000,1220000,1220000,1220000,823000,550000,450000
hershey park,0.46,368000,-,368000,0.69,-,-,-,823000,550000,368000,246000,165000,165000,165000,165000,201000,246000,550000,673000
lasagna recipe,0.15,550000,-,301000,1.16,-,-,-,246000,246000,246000,301000,301000,368000,450000,368000,301000,301000,201000,201000
pork chop recipes,0.14,368000,-,301000,0.53,-,-,-,301000,301000,301000,368000,368000,450000,246000,301000,301000,246000,246000,201000
paleo diet,0.23,246000,-,165000,0.21,-,-,-,246000,201000,246000,246000,165000,246000,110000,110000,110000,110000,90500,90500
green bean casserole,0.06,201000,-,201000,0.54,-,-,-,40500,49500,135000,60500,90500,110000,450000,1220000,74000,49500,40500,33100
cookie recipes,0.12,2240000,-,1500000,0.86,-,-,-,1000000,1000000,1220000,1220000,1500000,1500000,5000000,1830000,1500000,1000000,1000000,823000
apple pie recipe,0.16,246000,-,165000,0.36,-,-,-,74000,74000,74000,90500,90500,110000,201000,550000,368000,246000,90500,74000
dessert recipes,0.27,1500000,-,1000000,0.95,-,-,-,1000000,1000000,1220000,1000000,1000000,1000000,1220000,1500000,1000000,823000,673000,823000
green mountain coffee,0.59,135000,-,110000,0.91,-,-,-,110000,110000,110000,165000,135000,135000,135000,135000,135000,110000,74000,74000
chilis menu,0.04,201000,-,165000,0.68,-,-,-,201000,201000,201000,201000,201000,201000,165000,135000,165000,135000,135000,135000
healthy recipes,0.32,1500000,-,1000000,1.24,-,-,-,1000000,1000000,1000000,1220000,1220000,1500000,823000,1000000,1000000,823000,823000,823000
vegetarian recipes,0.17,1500000,-,823000,0.84,-,-,-,673000,673000,823000,823000,823000,1000000,823000,823000,673000,673000,673000,550000
peanut butter cookies,0.11,450000,-,368000,0.75,-,-,-,301000,246000,246000,301000,301000,368000,823000,368000,301000,246000,246000,201000
