Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
calorie counter,0.23,1220000,-,823000,0.5,-,-,-,823000,823000,823000,1000000,1000000,1220000,550000,673000,673000,823000,823000,823000
shingles,0.41,3350000,-,1500000,1.58,-,-,-,1830000,1830000,1500000,1500000,1220000,1500000,1220000,1220000,1500000,1500000,1220000,1220000
diabetes,0.38,9140000,-,3350000,3.76,-,-,-,-,-,3350000,4090000,3350000,3350000,2740000,3350000,3350000,3350000,2740000,2740000
ovulation calculator,0.19,450000,-,246000,0.71,-,-,-,201000,201000,201000,246000,246000,301000,246000,246000,246000,246000,246000,246000
bed bugs,0.42,2740000,-,1830000,2.06,-,-,-,1830000,1500000,1220000,1500000,1500000,1500000,1500000,2240000,2740000,3350000,2740000,1500000
hcg diet,0.43,823000,-,823000,3.25,-,-,-,1000000,1000000,823000,1000000,823000,1000000,450000,550000,673000,550000,550000,550000
pregnancy week by week,0.22,1830000,-,823000,0.32,-,-,-,673000,673000,673000,823000,823000,823000,823000,823000,823000,823000,823000,823000
gout,0.45,1830000,-,823000,1.79,-,-,-,823000,823000,823000,823000,823000,823000,673000,823000,823000,673000,673000,673000
pregnancy calculator,0.28,550000,-,301000,0.46,-,-,-,301000,301000,301000,301000,301000,368000,301000,301000,301000,301000,301000,246000
fibromyalgia,0.74,1220000,-,550000,4.77,-,-,-,550000,550000,550000,673000,550000,673000,450000,550000,550000,550000,550000,550000
mcdonalds nutrition,0.02,368000,-,301000,0.11,-,-,-,368000,368000,301000,368000,301000,368000,201000,246000,301000,301000,368000,450000
scabies,0.25,1000000,-,450000,0.47,-,-,-,450000,550000,450000,550000,450000,450000,450000,450000,550000,450000,450000,450000
vitamin d,0.29,2240000,-,1220000,1.39,-,-,-,1000000,1220000,1220000,1500000,1220000,1220000,1220000,1500000,1220000,1000000,1000000,823000
depression,0.24,6120000,-,3350000,9.67,-,-,-,-,-,4090000,4090000,3350000,3350000,3350000,3350000,3350000,2740000,2240000,2240000
scrubs,0.65,4090000,-,1830000,1.54,-,-,-,1500000,1500000,1830000,2240000,1830000,1830000,1500000,1500000,1830000,1830000,1830000,1500000
hcg,0.39,4090000,-,2240000,3.35,-,-,-,2740000,2240000,2240000,2740000,2240000,2740000,1500000,1500000,1830000,1830000,1500000,1500000
hemorrhoids,0.34,1830000,-,823000,1.89,-,-,-,823000,823000,823000,1000000,823000,1000000,823000,823000,823000,823000,673000,673000
diverticulitis,0.33,550000,-,368000,0.5,-,-,-,368000,450000,368000,368000,301000,368000,301000,301000,368000,368000,301000,301000
yeast infection,0.15,1500000,-,1000000,1.02,-,-,-,1000000,1000000,1000000,1220000,1000000,1220000,1000000,1000000,1000000,1000000,1000000,1000000
aspergers,0.21,1830000,-,673000,0.69,-,-,-,550000,673000,823000,1000000,673000,673000,673000,673000,673000,550000,550000,450000
cystic fibrosis,0.16,5000000,-,550000,1.92,-,-,-,368000,550000,550000,673000,673000,550000,450000,550000,550000,450000,368000,368000
17 day diet,0.29,368000,-,301000,0.36,-,-,-,246000,301000,673000,368000,301000,823000,368000,246000,73,58,36,28
lyme disease,0.26,673000,-,550000,0.86,-,-,-,823000,823000,550000,450000,368000,368000,301000,450000,450000,450000,550000,550000
plantar fasciitis,0.67,550000,-,301000,1.23,-,-,-,368000,368000,301000,368000,301000,301000,246000,301000,368000,368000,301000,301000
rheumatoid arthritis,0.57,1500000,-,450000,12.05,-,-,-,450000,450000,450000,550000,450000,450000,368000,450000,450000,368000,368000,301000
meningitis,0.23,1220000,-,450000,1.27,-,-,-,450000,450000,450000,550000,550000,450000,450000,450000,450000,450000,368000,368000
lymphoma,0.31,1220000,-,673000,1.85,-,-,-,673000,673000,823000,823000,823000,823000,673000,673000,823000,823000,673000,550000
copd,0.45,1000000,-,368000,3.78,-,-,-,-,368000,450000,450000,368000,368000,301000,368000,368000,301000,246000,246000
diabetes symptoms,0.52,673000,-,368000,2.06,-,-,-,368000,368000,368000,368000,368000,368000,301000,368000,368000,301000,301000,301000
skin cancer,0.36,823000,-,450000,0.88,-,-,-,550000,550000,450000,450000,368000,368000,368000,450000,450000,450000,368000,450000
bipolar,0.42,2740000,-,1220000,5.76,-,-,-,1000000,1220000,1830000,1500000,1220000,1220000,1000000,1220000,1220000,1000000,1000000,1000000
