Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
dress up games,0.19,7480000,-,2740000,0.27,-,-,-,3350000,2740000,2740000,2740000,2740000,3350000,3350000,3350000,2740000,2240000,2740000,3350000
joann fabrics,0.18,1220000,-,1000000,0.13,-,-,-,1000000,1000000,1000000,1000000,1000000,1220000,1220000,1500000,1220000,1000000,1000000,823000
call of duty black ops,0.08,9140000,-,2740000,0.52,-,-,-,1830000,1830000,1830000,2240000,2740000,4090000,4090000,9140000,2240000,1830000,1000000,550000
scrabble,0.08,6120000,-,4090000,0.43,-,-,-,5000000,5000000,6120000,6120000,4090000,4090000,3350000,3350000,2740000,2740000,2740000,2740000
girl games,0.2,13600000,-,2240000,0.45,-,-,-,2740000,2240000,2240000,2240000,2240000,2240000,2740000,2240000,2240000,1830000,1830000,2240000
ancestry,0.28,3350000,-,1830000,0.32,-,-,-,1830000,1830000,1830000,2240000,2240000,2240000,1500000,1500000,1500000,1500000,1220000,1220000
dress up games for girls,0.19,1500000,-,550000,0.34,-,-,-,550000,450000,450000,550000,550000,550000,550000,550000,450000,450000,550000,673000
plants vs zombies,0.4,4090000,-,823000,0.6,-,-,-,1000000,1000000,823000,823000,823000,823000,823000,673000,673000,673000,550000,450000
family feud,0.31,1000000,-,823000,0.23,-,-,-,673000,673000,673000,823000,1000000,1000000,1220000,1000000,823000,823000,823000,1000000
astrology,0.08,3350000,-,1220000,0.91,-,-,-,-,-,1220000,1220000,1220000,2740000,1500000,1220000,1220000,1220000,1220000,1220000
myrtle beach,0.52,4090000,-,3350000,1.58,-,-,-,6120000,5000000,4090000,4090000,3350000,3350000,2240000,2240000,2240000,2740000,4090000,5000000
beyblade,0.28,6120000,-,1000000,0.23,-,-,-,1000000,1220000,1220000,1220000,1220000,1500000,1500000,1220000,1000000,673000,550000,368000
bookworm,0.31,1000000,-,368000,0.35,-,-,-,301000,368000,368000,368000,368000,368000,368000,368000,368000,301000,301000,301000
fisher price,0.43,2740000,-,1000000,0.62,-,-,-,823000,673000,673000,823000,823000,1000000,1830000,2240000,1220000,1000000,823000,823000
canon cameras,0.8,1220000,-,550000,0.85,-,-,-,450000,450000,368000,450000,450000,550000,823000,823000,550000,450000,450000,450000
mmorpg,0.22,7480000,-,1500000,0.5,-,-,-,1830000,1830000,1500000,1830000,1500000,1830000,1500000,1500000,1500000,1500000,1500000,1500000
xbox kinect,0.6,1500000,-,550000,1.38,-,-,-,246000,246000,246000,368000,368000,673000,1830000,2240000,301000,135000,110000,135000
bejeweled 2,0.54,673000,-,201000,0.55,-,-,-,135000,165000,165000,165000,201000,246000,246000,246000,246000,246000,246000,301000
barbie dress up games,0.23,823000,-,201000,0.29,-,-,-,165000,135000,135000,135000,165000,201000,246000,201000,201000,165000,201000,246000
text twist,0.14,1000000,-,673000,0.28,-,-,-,550000,673000,673000,823000,673000,673000,823000,673000,673000,550000,550000,550000
bejeweled,0.51,3350000,-,1000000,0.58,-,-,-,823000,823000,823000,1000000,1000000,1220000,1220000,1000000,1000000,1000000,1000000,1000000
dominoes,0.12,6120000,-,3350000,0.21,-,-,-,3350000,3350000,3350000,3350000,3350000,3350000,3350000,3350000,3350000,2740000,2240000,2240000
horse games,0.31,1220000,-,450000,0.31,-,-,-,450000,450000,450000,550000,450000,550000,550000,550000,450000,368000,450000,450000
cool games,0.05,9140000,-,5000000,0.53,-,-,-,5000000,9140000,7480000,7480000,6120000,5000000,5000000,5000000,4090000,2740000,1220000,1000000
horses for sale,0.41,1220000,-,673000,0.64,-,-,-,550000,673000,673000,673000,823000,823000,673000,673000,673000,673000,673000,673000
mycokerewards,0.11,301000,-,301000,0.1,-,-,-,301000,301000,301000,301000,246000,301000,301000,301000,301000,246000,246000,246000
healthy recipes,0.32,1500000,-,1000000,1.24,-,-,-,1000000,1000000,1000000,1220000,1220000,1500000,823000,1000000,1000000,823000,823000,823000
barbie dress up,0.24,1220000,-,368000,0.29,-,-,-,301000,301000,301000,301000,301000,368000,368000,368000,301000,301000,368000,368000
dead space 2,0.01,2240000,-,450000,1.18,-,-,-,246000,301000,368000,673000,1500000,1500000,201000,90500,110000,90500,60500,60500
joanns,0.18,450000,-,368000,0.11,-,-,-,368000,450000,450000,368000,368000,368000,368000,450000,450000,368000,368000,246000
word search,0.19,2240000,-,1220000,0.35,-,-,-,1220000,1830000,1500000,1830000,1500000,1500000,1500000,1500000,1500000,1220000,823000,673000
harrahs,0.23,823000,-,673000,0.54,-,-,-,673000,673000,673000,823000,823000,823000,673000,673000,673000,673000,673000,673000
frogger,0.2,368000,-,201000,0.24,-,-,-,135000,165000,165000,201000,201000,246000,246000,246000,201000,201000,201000,201000
hunting games,0.28,673000,-,368000,0.4,-,-,-,246000,301000,301000,368000,368000,450000,673000,550000,450000,301000,246000,246000
zuma,0.26,6120000,-,450000,0.5,-,-,-,-,550000,550000,550000,450000,550000,550000,368000,368000,450000,450000,450000
vegetarian recipes,0.17,1500000,-,823000,0.84,-,-,-,673000,673000,823000,823000,823000,1000000,823000,823000,673000,673000,673000,550000
red dead redemption,0.02,4090000,-,1220000,0.5,-,-,-,823000,823000,823000,1000000,1000000,1500000,1500000,1220000,1500000,1220000,1500000,2240000
daily horoscope,0.13,1220000,-,550000,0.37,-,-,-,550000,550000,550000,673000,550000,673000,550000,550000,550000,550000,550000,450000
chicken recipes,0.15,6120000,-,4090000,0.73,-,-,-,3350000,3350000,3350000,4090000,5000000,6120000,4090000,4090000,4090000,3350000,3350000,2740000
jigsaw puzzles,0.46,1000000,-,550000,0.46,-,-,-,450000,450000,450000,550000,550000,550000,673000,550000,450000,450000,450000,450000
monster truck games,0.17,550000,-,246000,0.26,-,-,-,201000,246000,246000,301000,301000,301000,301000,246000,201000,201000,201000,165000
basketball games,0.33,823000,-,550000,0.38,-,-,-,450000,550000,550000,1000000,823000,673000,550000,550000,301000,201000,201000,246000
betty crocker,0.23,550000,-,450000,0.2,-,-,-,450000,368000,450000,450000,450000,450000,823000,673000,450000,368000,301000,301000
crock pot recipes,0.17,1000000,-,823000,0.45,-,-,-,450000,550000,550000,823000,1000000,1500000,1220000,1220000,1220000,823000,550000,450000
nikon d7000,0.76,1000000,-,246000,0.9,-,-,-,301000,301000,246000,301000,246000,301000,368000,450000,301000,201000,12100,1900
pacman game,0.35,673000,-,301000,0.3,-,-,-,246000,301000,301000,368000,301000,368000,368000,368000,301000,246000,301000,246000
veterinarian,0.25,6120000,-,3350000,3.04,-,-,-,3350000,3350000,3350000,4090000,3350000,4090000,2740000,2740000,2740000,2740000,2740000,2740000
benihana,0.17,301000,-,246000,0.58,-,-,-,246000,246000,246000,301000,301000,301000,301000,246000,246000,201000,201000,201000
magic the gathering,0.09,2740000,-,1220000,0.52,-,-,-,1830000,1220000,1220000,1220000,1220000,1500000,1000000,1000000,1000000,1220000,1000000,1220000
horoscope signs,0.12,2240000,-,1500000,0.41,-,-,-,823000,823000,823000,1220000,1500000,9140000,823000,823000,823000,823000,673000,823000
nerf,0.28,2740000,-,1000000,0.72,-,-,-,823000,823000,823000,823000,823000,1000000,1830000,1220000,1000000,1000000,1000000,673000
hidden object games,0.76,1000000,-,368000,0.62,-,-,-,368000,450000,368000,368000,368000,450000,368000,368000,368000,368000,301000,368000
madden 11,0.06,823000,-,673000,1.32,-,-,-,165000,165000,201000,246000,450000,823000,823000,673000,823000,1000000,1830000,823000
monopoly,0.19,4090000,-,1000000,0.45,-,-,-,823000,823000,823000,1000000,823000,1000000,1220000,1220000,2240000,823000,823000,673000
fashion games,0.4,1220000,-,368000,0.37,-,-,-,368000,301000,301000,301000,301000,368000,368000,368000,301000,301000,368000,450000
nikon d3100,0.75,1000000,-,246000,0.75,-,-,-,301000,301000,301000,301000,246000,246000,368000,301000,135000,110000,74000,2900
brain teasers,0.12,450000,-,246000,0.6,-,-,-,201000,246000,246000,301000,246000,301000,301000,301000,301000,246000,201000,165000
skateboarding games,0.27,550000,-,201000,0.25,-,-,-,165000,201000,201000,201000,201000,201000,246000,246000,246000,201000,201000,201000
legos,0.23,7480000,-,2740000,0.39,-,-,-,2740000,2740000,2740000,4090000,2740000,2240000,2740000,2740000,1830000,1830000,2240000,2240000
makeover games,0.33,673000,-,246000,0.33,-,-,-,246000,201000,201000,201000,201000,246000,301000,246000,246000,246000,301000,368000
lasagna recipe,0.15,550000,-,301000,1.16,-,-,-,246000,246000,246000,301000,301000,368000,450000,368000,301000,301000,201000,201000
yorkie,0.36,1500000,-,1000000,0.61,-,-,-,1000000,1000000,1000000,1000000,1000000,1220000,1220000,1000000,1000000,823000,1000000,1000000
baseball games,0.32,450000,-,368000,0.51,-,-,-,450000,550000,450000,368000,246000,201000,201000,246000,368000,301000,368000,450000
puppies for sale,0.55,5000000,-,2740000,0.49,-,-,-,2740000,2740000,2740000,3350000,3350000,3350000,3350000,3350000,2740000,2740000,2740000,2740000
brain games,0.3,823000,-,368000,0.52,-,-,-,368000,450000,450000,550000,450000,450000,450000,450000,368000,301000,246000,301000
my little pony,0.12,823000,-,368000,0.5,-,-,-,823000,550000,550000,450000,450000,301000,368000,246000,246000,201000,201000,201000
canon 7d,0.49,1000000,-,301000,0.93,-,-,-,246000,301000,301000,301000,246000,301000,301000,301000,301000,301000,301000,246000
betus,0.02,165000,-,135000,0.27,-,-,-,60500,74000,90500,135000,135000,165000,165000,201000,201000,201000,74000,49500
traxxas,0.32,673000,-,368000,0.42,-,-,-,301000,301000,368000,450000,450000,450000,450000,368000,301000,246000,246000,246000
peanut butter cookies,0.11,450000,-,368000,0.75,-,-,-,301000,246000,246000,301000,301000,368000,823000,368000,301000,246000,246000,201000
pacman 30th anniversary,0.02,301000,-,110000,0.37,-,-,-,301000,368000,301000,110000,3600,5400,6600,8100,49500,74000,60500,33100
scrabble online,0.37,550000,-,301000,0.6,-,-,-,246000,301000,301000,368000,301000,368000,301000,301000,246000,246000,301000,301000
