Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
nook,0.32,4090000,-,2740000,0.54,-,-,-,3350000,3350000,3350000,3350000,3350000,3350000,6120000,3350000,1220000,1220000,1220000,1220000
raymour and flanigan,0.15,301000,-,301000,0.1,-,-,-,301000,301000,301000,368000,368000,450000,301000,368000,301000,301000,301000,246000
rent a center,0.3,450000,-,450000,0.35,-,-,-,450000,450000,450000,550000,450000,550000,450000,450000,368000,368000,368000,368000
myrtle beach,0.52,4090000,-,3350000,1.58,-,-,-,6120000,5000000,4090000,4090000,3350000,3350000,2240000,2240000,2240000,2740000,4090000,5000000
scentsy,0.41,450000,-,368000,1.14,-,-,-,368000,368000,450000,450000,450000,450000,450000,550000,450000,368000,246000,201000
kitchenaid,0.72,2240000,-,1220000,1.45,-,-,-,1000000,1000000,1000000,1220000,1220000,1500000,1830000,1830000,1000000,1000000,823000,823000
bedding,0.85,9140000,-,6120000,1.17,-,-,-,6120000,6120000,5000000,7480000,7480000,7480000,6120000,6120000,6120000,6120000,6120000,7480000
refrigerator,0.69,7480000,-,4090000,2.19,-,-,-,4090000,4090000,3350000,4090000,4090000,4090000,4090000,4090000,3350000,4090000,4090000,4090000
patio furniture,0.97,1500000,-,823000,1.7,-,-,-,1220000,1500000,1220000,1000000,673000,450000,368000,450000,550000,673000,823000,1000000
frigidaire,0.68,1000000,-,823000,1.44,-,-,-,823000,823000,673000,823000,673000,823000,673000,823000,673000,673000,673000,823000
kitchen cabinets,0.81,1220000,-,1000000,2.19,-,-,-,823000,823000,823000,1220000,1220000,1220000,823000,1000000,1000000,823000,823000,823000
mattress,0.8,9140000,-,5000000,2.17,-,-,-,5000000,5000000,4090000,5000000,6120000,6120000,5000000,5000000,5000000,5000000,5000000,5000000
curtains,0.85,6120000,-,3350000,1.1,-,-,-,2740000,2740000,2740000,3350000,3350000,4090000,2740000,3350000,2740000,2740000,2740000,2740000
bathroom vanities,1,673000,-,550000,1.73,-,-,-,450000,450000,450000,673000,673000,673000,450000,550000,550000,450000,550000,450000
cuisinart,0.75,1000000,-,673000,1.07,-,-,-,673000,550000,550000,673000,673000,823000,1220000,1000000,673000,550000,550000,550000
slow cooker recipes,0.18,823000,-,450000,0.49,-,-,-,301000,301000,368000,550000,550000,823000,673000,550000,673000,450000,301000,246000
outdoor furniture,1,1000000,-,550000,1.86,-,-,-,1000000,1000000,823000,823000,450000,368000,301000,301000,368000,450000,550000,673000
delta faucets,0.76,246000,-,201000,2.24,-,-,-,201000,201000,201000,246000,246000,246000,201000,201000,201000,165000,201000,165000
maytag,0.68,1220000,-,1000000,1.9,-,-,-,1000000,1000000,823000,1000000,1000000,1000000,1000000,1220000,1000000,1000000,823000,823000
duvet covers,0.99,673000,-,368000,1.38,-,-,-,301000,301000,301000,368000,368000,450000,368000,450000,368000,368000,450000,450000
rugs,0.79,6120000,-,3350000,2.02,-,-,-,3350000,3350000,3350000,4090000,4090000,5000000,3350000,4090000,3350000,3350000,3350000,3350000
shower curtains,0.91,823000,-,673000,0.76,-,-,-,550000,550000,550000,673000,673000,673000,550000,550000,550000,550000,673000,673000
jennifer convertibles,0.52,110000,-,110000,0.44,-,-,-,90500,90500,90500,110000,110000,135000,90500,110000,110000,110000,110000,110000
picture frames,0.78,1830000,-,1000000,1.31,-,-,-,823000,823000,823000,1000000,1000000,1220000,1500000,1220000,823000,823000,823000,823000
ge appliances,0.74,201000,-,201000,1.15,-,-,-,165000,165000,165000,201000,201000,201000,201000,201000,201000,165000,201000,201000
living spaces,0.36,165000,-,110000,0.28,-,-,-,135000,135000,110000,135000,135000,135000,110000,110000,90500,110000,110000,110000
futon,0.88,1500000,-,673000,1.1,-,-,-,673000,550000,550000,673000,673000,673000,673000,673000,550000,673000,823000,823000
garage doors,0.83,1220000,-,823000,4.55,-,-,-,823000,673000,673000,823000,823000,823000,823000,823000,823000,673000,673000,673000
thomasville furniture,0.56,110000,-,110000,0.54,-,-,-,74000,90500,74000,90500,110000,165000,90500,110000,110000,110000,110000,90500
