Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
reverse phone lookup,0.65,1830000,-,1830000,0.6,-,-,-,1830000,1500000,1500000,1830000,1500000,1830000,1830000,1830000,1830000,1830000,1500000,1500000
google voice,0.05,2740000,-,1830000,0.13,-,-,-,-,2240000,2240000,2240000,1830000,2240000,1830000,1830000,1830000,1830000,1830000,1500000
people search,0.68,2740000,-,2240000,0.6,-,-,-,1830000,1830000,1830000,2240000,2240000,2740000,2240000,1830000,2240000,2240000,2240000,1830000
igoogle,0.08,4090000,-,1220000,0.23,-,-,-,1220000,1500000,1500000,1830000,1220000,1220000,1000000,1000000,1000000,1000000,823000,823000
utorrent,0.1,11100000,-,1220000,0.17,-,-,-,1220000,1220000,1000000,1220000,1220000,1500000,1500000,1500000,1220000,1000000,1000000,1000000
internet speed test,0.16,3350000,-,1000000,1.37,-,-,-,823000,823000,823000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,823000,673000
area codes,0.03,13600000,-,9140000,0.28,-,-,-,11100000,9140000,9140000,11100000,9140000,11100000,9140000,9140000,9140000,9140000,9140000,9140000
phone number lookup,0.77,1220000,-,1000000,0.71,-,-,-,1000000,1000000,823000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,823000,1000000
plants vs zombies,0.4,4090000,-,823000,0.6,-,-,-,1000000,1000000,823000,823000,823000,823000,823000,673000,673000,673000,550000,450000
family feud,0.31,1000000,-,823000,0.23,-,-,-,673000,673000,673000,823000,1000000,1000000,1220000,1000000,823000,823000,823000,1000000
google toolbar,0.12,1830000,-,450000,0.18,-,-,-,550000,550000,450000,450000,368000,450000,450000,450000,368000,368000,368000,368000
bookworm,0.31,1000000,-,368000,0.35,-,-,-,301000,368000,368000,368000,368000,368000,368000,368000,368000,301000,301000,301000
charter communications,0.53,450000,-,450000,2.59,-,-,-,450000,450000,368000,450000,450000,550000,450000,450000,450000,450000,550000,450000
mmorpg,0.22,7480000,-,1500000,0.5,-,-,-,1830000,1830000,1500000,1830000,1500000,1830000,1500000,1500000,1500000,1500000,1500000,1500000
bejeweled 2,0.54,673000,-,201000,0.55,-,-,-,135000,165000,165000,165000,201000,246000,246000,246000,246000,246000,246000,301000
zip codes by city,0.08,450000,-,368000,0.55,-,-,-,301000,246000,246000,301000,368000,450000,550000,450000,368000,368000,450000,550000
area code lookup,0.2,201000,-,165000,0.2,-,-,-,246000,246000,201000,246000,201000,201000,135000,135000,135000,135000,110000,110000
google earth download,0.15,1830000,-,201000,0.1,-,-,-,246000,201000,201000,246000,165000,201000,201000,201000,246000,201000,165000,135000
nexus s,0.27,1500000,-,368000,1.52,-,-,-,550000,823000,550000,550000,450000,550000,1220000,165000,6600,4400,5400,6600
address search,0.42,1500000,-,1000000,0.41,-,-,-,823000,823000,823000,1000000,1000000,1000000,1220000,1000000,823000,823000,1000000,1000000
text twist,0.14,1000000,-,673000,0.28,-,-,-,550000,673000,673000,823000,673000,673000,823000,673000,673000,550000,550000,550000
att uverse,0.44,1000000,-,1000000,2.07,-,-,-,1000000,1000000,823000,1000000,823000,1000000,1000000,1000000,823000,823000,823000,823000
