Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
math games,0.09,9140000,-,6120000,0.44,-,-,-,6120000,11100000,7480000,9140000,7480000,6120000,6120000,6120000,5000000,4090000,1500000,1220000
snag a job,0.15,450000,-,450000,0.1,-,-,-,550000,550000,450000,450000,368000,450000,368000,450000,368000,368000,301000,301000
classmates,0.28,823000,-,368000,0.1,-,-,-,246000,246000,246000,368000,450000,673000,450000,368000,450000,450000,450000,450000
resume builder,0.49,368000,-,246000,0.78,-,-,-,301000,301000,301000,301000,301000,301000,201000,246000,246000,246000,246000,201000
sample resume,0.19,3350000,-,1830000,0.51,-,-,-,1830000,1830000,1830000,2240000,1830000,2240000,1500000,1830000,1830000,1830000,1830000,1500000
math worksheets,0.33,1220000,-,823000,0.43,-,-,-,673000,823000,673000,1000000,823000,823000,673000,823000,823000,823000,550000,450000
gmat,0.36,1500000,-,550000,6.84,-,-,-,550000,550000,550000,673000,550000,673000,550000,550000,550000,673000,673000,550000
richard scarry,0.05,550000,-,450000,0.54,-,-,-,6120000,27100,27100,27100,27100,27100,40500,33100,27100,27100,27100,22200
resume templates,0.35,1830000,-,1220000,0.49,-,-,-,1220000,1500000,1220000,1500000,1220000,1500000,1000000,1220000,1220000,1220000,1000000,1000000
job search,0.62,3350000,-,1500000,0.9,-,-,-,1220000,1220000,1220000,1500000,1500000,1830000,1220000,1220000,1220000,1500000,1220000,1500000
multiplication games,0.19,450000,-,301000,0.3,-,-,-,246000,450000,450000,450000,450000,450000,301000,368000,301000,246000,165000,110000
cover letter examples,0.1,1500000,-,823000,0.46,-,-,-,823000,823000,823000,1000000,823000,823000,550000,673000,673000,823000,673000,673000
government jobs,0.25,2740000,-,1000000,0.76,-,-,-,1000000,1000000,1000000,1220000,1220000,1220000,1000000,1000000,1000000,1000000,1000000,1000000
science fair projects,0.45,823000,-,673000,0.58,-,-,-,74000,450000,550000,823000,823000,1500000,823000,1000000,823000,823000,246000,49500
resume examples,0.26,2740000,-,1830000,0.53,-,-,-,1830000,1830000,1830000,2240000,1830000,2240000,1220000,1500000,1830000,1830000,1500000,1500000
resume template,0.33,2240000,-,1220000,0.47,-,-,-,1220000,1220000,1220000,1500000,1220000,1500000,1000000,1220000,1000000,1000000,1000000,823000
