Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
uscis,0.14,2240000,-,1500000,1.1,-,-,-,1500000,1500000,1220000,1500000,1500000,1500000,1220000,1220000,1220000,1500000,1220000,1220000
unemployment,0.15,13600000,-,11100000,0.63,-,-,-,9140000,9140000,9140000,9140000,9140000,13600000,13600000,11100000,9140000,9140000,9140000,13600000
bankruptcy,0.48,4090000,-,3350000,9.79,-,-,-,2740000,2740000,2740000,3350000,4090000,4090000,2740000,3350000,3350000,3350000,3350000,2740000
social security disability,0.59,550000,-,450000,3.66,-,-,-,550000,450000,450000,550000,550000,550000,450000,450000,450000,450000,450000,450000
salary calculator,0.24,550000,-,201000,0.56,-,-,-,246000,246000,201000,246000,201000,246000,201000,201000,201000,201000,201000,201000
irs forms,0.18,1000000,-,1000000,0.99,-,-,-,550000,550000,2240000,1830000,2240000,1830000,673000,450000,550000,450000,368000,450000
medicaid,0.29,2240000,-,2240000,1.64,-,-,-,2240000,2240000,2240000,2240000,2240000,2240000,1830000,2240000,2240000,1830000,1830000,1830000
florida dmv,0.1,368000,-,368000,0.44,-,-,-,450000,368000,368000,450000,368000,450000,368000,368000,368000,368000,450000,368000
dmv.org,0.14,90500,-,90500,0.1,-,-,-,90500,74000,90500,110000,90500,60500,90500,110000,110000,90500,110000,90500
navy fed,0.08,135000,-,135000,0.24,-,-,-,165000,165000,165000,201000,135000,110000,110000,90500,110000,110000,110000,110000
pbskidsgo.org,0.07,90500,-,90500,0.13,-,-,-,135000,110000,60500,60500,135000,165000,90500,74000,49500,33100,40500,40500
census,0.17,4090000,-,1500000,0.59,-,-,-,1220000,1500000,1830000,2240000,1830000,1500000,1500000,1220000,1500000,1220000,1000000,1220000
gi bill,0.23,368000,-,368000,3.68,-,-,-,368000,368000,368000,368000,368000,450000,301000,301000,368000,368000,368000,301000
nc dmv,0.04,301000,-,301000,0.14,-,-,-,368000,301000,301000,368000,301000,301000,246000,301000,301000,301000,301000,301000
tax act,0.14,1220000,-,550000,0.87,-,-,-,201000,246000,1000000,1000000,1830000,1500000,450000,201000,201000,201000,165000,165000
section 8,0.45,1220000,-,1000000,0.34,-,-,-,1000000,1000000,1000000,1000000,823000,1000000,823000,823000,823000,823000,823000,823000
national guard,0.2,1500000,-,1000000,1.81,-,-,-,1000000,1000000,823000,1000000,1000000,1000000,823000,1000000,823000,823000,823000,823000
uscis.gov,0.14,90500,-,74000,0.61,-,-,-,74000,74000,74000,90500,74000,90500,60500,74000,74000,74000,90500,74000
unclaimed money,0.23,673000,-,673000,0.27,-,-,-,673000,550000,550000,823000,823000,823000,550000,550000,550000,550000,550000,550000
divorce,0.32,7480000,-,5000000,4.43,-,-,-,-,-,4090000,5000000,5000000,5000000,5000000,6120000,5000000,5000000,4090000,4090000
tax calculator,0.32,1830000,-,823000,1.38,-,-,-,550000,450000,673000,673000,1220000,2240000,1000000,673000,550000,450000,450000,450000
1040ez,0.15,368000,-,368000,1.8,-,-,-,74000,90500,1000000,673000,1000000,823000,135000,90500,90500,74000,74000,74000
