Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
baby names,0.19,6120000,-,3350000,0.28,-,-,-,3350000,3350000,3350000,3350000,3350000,4090000,3350000,3350000,3350000,3350000,2740000,2740000
spanish translation,0.04,5000000,-,4090000,0.18,-,-,-,2740000,4090000,4090000,4090000,4090000,5000000,5000000,5000000,5000000,5000000,3350000,2740000
area codes,0.03,13600000,-,9140000,0.28,-,-,-,11100000,9140000,9140000,11100000,9140000,11100000,9140000,9140000,9140000,9140000,9140000,9140000
google translator,0.09,4090000,-,673000,0.13,-,-,-,-,-,823000,823000,823000,823000,823000,1000000,823000,673000,450000,450000
english to spanish translation,0.06,2740000,-,2240000,0.15,-,-,-,1500000,1830000,1830000,1830000,2240000,2740000,2740000,3350000,2740000,2740000,1830000,1500000
roger hargreaves,0.09,3350000,-,450000,0.5,-,-,-,8100,5000000,1000,1600,1600,1600,1600,1600,1600,1300,1300,1300
plants vs zombies,0.4,4090000,-,823000,0.6,-,-,-,1000000,1000000,823000,823000,823000,823000,823000,673000,673000,673000,550000,450000
family feud,0.31,1000000,-,823000,0.23,-,-,-,673000,673000,673000,823000,1000000,1000000,1220000,1000000,823000,823000,823000,1000000
text twist,0.14,1000000,-,673000,0.28,-,-,-,550000,673000,673000,823000,673000,673000,823000,673000,673000,550000,550000,550000
translate spanish to english,0.08,1500000,-,1000000,0.13,-,-,-,823000,1000000,823000,823000,1000000,1220000,1220000,1500000,1220000,1000000,673000,673000
bejeweled,0.51,3350000,-,1000000,0.58,-,-,-,823000,823000,823000,1000000,1000000,1220000,1220000,1000000,1000000,1000000,1000000,1000000
spanish to english translation,0.06,2740000,-,2240000,0.15,-,-,-,1500000,1830000,1830000,1830000,2240000,2740000,2740000,3350000,2740000,2740000,1830000,1500000
spanish translator,0.03,4090000,-,3350000,0.18,-,-,-,2240000,2740000,2740000,3350000,3350000,4090000,4090000,4090000,5000000,4090000,2240000,2240000
pixie hollow,0.09,550000,-,368000,0.1,-,-,-,823000,246000,246000,301000,450000,550000,246000,246000,246000,246000,368000,673000
bookworm,0.31,1000000,-,368000,0.35,-,-,-,301000,368000,368000,368000,368000,368000,368000,368000,368000,301000,301000,301000
name meanings,0.11,3350000,-,1220000,0.28,-,-,-,1000000,1220000,1220000,1220000,1220000,1500000,1220000,1220000,1220000,1220000,1000000,1000000
translate english to spanish,0.08,1500000,-,1000000,0.14,-,-,-,823000,1000000,823000,823000,1000000,1220000,1220000,1500000,1220000,1000000,673000,673000
