Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
wedding invitations,0.8,2740000,-,1500000,2.27,-,-,-,1500000,1500000,1500000,1830000,1830000,2240000,1000000,1000000,1220000,1220000,1500000,1500000
baby shower games,0.5,450000,-,368000,0.16,-,-,-,368000,368000,368000,368000,368000,450000,201000,301000,368000,368000,301000,301000
ecards,0.67,4090000,-,1830000,0.57,-,-,-,1500000,1830000,1500000,1830000,3350000,1830000,3350000,1830000,1830000,1500000,1500000,1220000
baby shower invitations,0.93,673000,-,550000,2.24,-,-,-,550000,550000,550000,673000,550000,673000,368000,368000,450000,550000,550000,550000
invitations,0.81,9140000,-,5000000,2.06,-,-,-,5000000,6120000,6120000,6120000,6120000,6120000,3350000,4090000,5000000,5000000,5000000,5000000
wedding favors,0.85,823000,-,550000,1.57,-,-,-,550000,550000,550000,673000,550000,673000,301000,368000,450000,450000,550000,550000
gift baskets,0.93,1000000,-,823000,2.77,-,-,-,550000,550000,673000,673000,823000,823000,2240000,1000000,673000,550000,550000,550000
flower delivery,0.87,1500000,-,823000,4.57,-,-,-,550000,1220000,673000,823000,1500000,823000,673000,673000,673000,673000,673000,550000
elf yourself,0.09,368000,-,135000,0.14,-,-,-,14800,22200,27100,40500,49500,90500,1000000,301000,27100,14800,14800,14800
florists,0.64,7480000,-,4090000,3.26,-,-,-,3350000,5000000,4090000,5000000,7480000,5000000,4090000,4090000,4090000,4090000,4090000,3350000
e cards,0.7,5000000,-,2240000,0.68,-,-,-,1830000,2240000,1830000,1830000,3350000,2240000,3350000,2240000,1830000,1830000,1500000,1500000
bonefish grill,0.2,246000,-,246000,0.28,-,-,-,246000,246000,246000,246000,301000,301000,301000,201000,201000,165000,201000,201000
wedding songs,0.13,1830000,-,823000,0.33,-,-,-,1000000,1000000,823000,823000,673000,823000,550000,550000,673000,823000,1000000,1000000
party supplies,0.61,3350000,-,2740000,0.7,-,-,-,2740000,2740000,2240000,2740000,2740000,2740000,1500000,1830000,5000000,2740000,2240000,2240000
deviled eggs,0.16,246000,-,201000,0.38,-,-,-,165000,165000,450000,135000,135000,135000,301000,368000,135000,110000,110000,165000
bridal shower games,0.35,165000,-,165000,0.15,-,-,-,201000,201000,201000,201000,135000,110000,49500,74000,90500,135000,165000,201000
jacquie lawson,0.29,301000,-,135000,0.1,-,-,-,110000,135000,135000,110000,135000,135000,301000,135000,90500,74000,60500,74000
baby shower favors,0.91,301000,-,301000,1.1,-,-,-,301000,301000,246000,301000,301000,368000,165000,201000,246000,301000,301000,246000
christmas games,0.12,673000,-,301000,0.35,-,-,-,33100,33100,33100,49500,60500,110000,2240000,550000,110000,49500,33100,33100
gifts for men,0.78,823000,-,368000,1.33,-,-,-,201000,201000,201000,201000,550000,368000,1220000,673000,301000,246000,201000,165000
halloween games,0.16,368000,-,201000,0.41,-,-,-,33100,33100,27100,33100,33100,40500,49500,110000,1830000,301000,74000,40500
photo booth,0.5,823000,-,450000,2.06,-,-,-,450000,450000,450000,550000,450000,550000,450000,450000,450000,450000,450000,368000
bridal shower invitations,0.86,201000,-,201000,2.05,-,-,-,246000,246000,246000,301000,246000,246000,74000,74000,90500,110000,165000,201000
pumpkin carving patterns,0.09,450000,-,368000,0.22,-,-,-,2400,2900,1900,3600,6600,18100,18100,60500,4090000,90500,8100,2900
gift ideas,0.78,5000000,-,3350000,1.34,-,-,-,2240000,2740000,2240000,2240000,4090000,2740000,9140000,6120000,2240000,1830000,1830000,1830000
baby shower ideas,0.53,301000,-,246000,0.71,-,-,-,246000,246000,246000,301000,246000,368000,135000,165000,246000,246000,246000,246000
pumpkin carving templates,0.07,301000,-,201000,0.22,-,-,-,1600,1900,1300,2400,3600,6600,9900,33100,2740000,40500,3600,1300
christmas lights,0.71,1000000,-,673000,0.99,-,-,-,110000,110000,90500,165000,165000,368000,4090000,2240000,450000,246000,165000,135000
anniversary gifts,0.58,673000,-,450000,1.23,-,-,-,550000,450000,368000,368000,368000,368000,368000,450000,450000,550000,550000,550000
anniversary gifts by year,0.4,201000,-,165000,0.8,-,-,-,201000,165000,110000,110000,110000,135000,110000,165000,165000,201000,201000,201000
spring break 2011,0.05,450000,-,301000,1.43,-,-,-,33100,49500,201000,823000,673000,673000,246000,201000,165000,110000,74000,49500
save the date magnets,1,90500,-,74000,3.32,-,-,-,60500,60500,60500,74000,90500,135000,74000,90500,90500,90500,74000,74000
birthday invitations,0.88,1000000,-,550000,1.75,-,-,-,550000,673000,550000,673000,673000,823000,368000,550000,550000,673000,550000,550000
wedding invitation wording,0.31,450000,-,201000,0.64,-,-,-,201000,201000,201000,246000,201000,246000,110000,110000,135000,135000,165000,201000
ruth chris,0.18,368000,-,301000,0.54,-,-,-,301000,301000,301000,301000,450000,368000,450000,301000,301000,246000,246000,246000
christmas decorations,0.69,1220000,-,673000,1.13,-,-,-,110000,74000,60500,110000,135000,368000,2740000,2740000,823000,368000,201000,165000
halloween decorations,0.78,246000,-,165000,1.08,-,-,-,27100,18100,14800,18100,18100,22200,22200,60500,1000000,550000,201000,60500
wedding flowers,0.56,823000,-,368000,1.37,-,-,-,368000,368000,368000,450000,450000,550000,301000,301000,368000,368000,368000,368000
jewish holidays 2010,0.14,60500,-,49500,0.43,-,-,-,720,590,1000,1300,1600,8100,49500,49500,40500,201000,110000,74000
shaadi,0.16,823000,-,90500,0.33,-,-,-,90500,90500,90500,110000,90500,90500,90500,90500,90500,90500,74000,90500
