Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
loan calculator,0.42,1830000,-,1000000,1.34,-,-,-,1000000,1000000,1000000,1220000,1000000,1000000,823000,1000000,1000000,1000000,1000000,1000000
apartments for rent,0.76,9140000,-,4090000,1.26,-,-,-,4090000,4090000,4090000,5000000,6120000,6120000,3350000,4090000,4090000,4090000,4090000,4090000
for sale by owner,0.63,1500000,-,1220000,1.1,-,-,-,1220000,1220000,1220000,1500000,1500000,1500000,1000000,1000000,1220000,1220000,1220000,1220000
homes for sale,0.59,20400000,-,11100000,1.5,-,-,-,11100000,11100000,11100000,13600000,13600000,13600000,9140000,9140000,9140000,9140000,11100000,11100000
apartments,0.41,24900000,-,20400000,1.24,-,-,-,-,-,20400000,20400000,20400000,20400000,16600000,16600000,16600000,16600000,16600000,20400000
houses for rent,0.67,11100000,-,6120000,0.74,-,-,-,6120000,6120000,6120000,7480000,7480000,7480000,4090000,4090000,5000000,5000000,5000000,5000000
house plans,0.56,2740000,-,1500000,0.7,-,-,-,1220000,1500000,1500000,1830000,1500000,1830000,1220000,1500000,1500000,1500000,1500000,1500000
apartment finder,0.69,301000,-,301000,0.97,-,-,-,301000,301000,301000,368000,301000,368000,246000,246000,301000,301000,301000,301000
amortization calculator,0.36,301000,-,246000,0.62,-,-,-,165000,165000,201000,246000,246000,301000,246000,301000,301000,246000,301000,301000
bankrate,0.3,368000,-,301000,0.54,-,-,-,301000,301000,246000,301000,301000,301000,301000,301000,368000,301000,368000,301000
mortgage payment calculator,0.69,301000,-,201000,1.01,-,-,-,165000,165000,165000,201000,165000,201000,165000,201000,246000,201000,246000,246000
houses for sale,0.6,13600000,-,9140000,1.54,-,-,-,9140000,9140000,9140000,11100000,11100000,11100000,7480000,7480000,7480000,7480000,7480000,7480000
homes for rent,0.68,11100000,-,6120000,0.74,-,-,-,7480000,7480000,7480000,9140000,7480000,9140000,5000000,5000000,5000000,5000000,6120000,6120000
vacation rentals,0.71,3350000,-,2740000,1.6,-,-,-,3350000,2740000,2240000,3350000,3350000,3350000,1830000,1830000,1830000,1830000,2740000,3350000
nebraska furniture mart,0.13,201000,-,165000,0.1,-,-,-,165000,165000,165000,165000,165000,201000,201000,246000,135000,135000,135000,135000
vacation rentals by owner,0.51,165000,-,135000,0.7,-,-,-,165000,135000,135000,165000,135000,165000,90500,74000,90500,90500,110000,135000
puerto vallarta,0.44,1500000,-,450000,1.65,-,-,-,368000,368000,450000,550000,550000,673000,450000,450000,368000,368000,450000,450000
moving companies,0.94,823000,-,550000,10.77,-,-,-,673000,550000,450000,673000,550000,673000,550000,550000,550000,550000,673000,673000
outer banks vacation rentals,0.9,90500,-,90500,2.11,-,-,-,135000,90500,90500,110000,110000,135000,40500,40500,40500,49500,90500,135000
payment calculator,0.48,823000,-,673000,1.03,-,-,-,550000,550000,550000,673000,550000,673000,550000,550000,673000,550000,673000,673000
renters insurance,0.74,246000,-,246000,10.41,-,-,-,246000,246000,201000,246000,201000,246000,201000,201000,201000,201000,246000,246000
foreclosure,0.6,3350000,-,3350000,1.52,-,-,-,2740000,2740000,2740000,4090000,3350000,4090000,2740000,2740000,4090000,3350000,3350000,2740000
amortization schedule,0.36,246000,-,246000,0.85,-,-,-,246000,246000,246000,246000,246000,246000,165000,201000,246000,201000,201000,201000
short sale,0.43,1000000,-,823000,2.21,-,-,-,1000000,1000000,823000,1000000,1000000,1000000,673000,673000,823000,823000,823000,673000
apartment guide,0.6,368000,-,368000,0.81,-,-,-,368000,368000,368000,450000,368000,450000,301000,368000,368000,368000,368000,368000
mls listings,0.56,673000,-,450000,0.57,-,-,-,450000,450000,368000,450000,450000,550000,368000,368000,450000,450000,450000,450000
hud homes,0.52,368000,-,368000,0.75,-,-,-,368000,450000,368000,450000,450000,450000,301000,246000,246000,246000,246000,246000
modular homes,0.79,823000,-,673000,1.42,-,-,-,550000,550000,550000,823000,673000,823000,550000,550000,550000,673000,673000,673000
sanibel island,0.56,246000,-,201000,1.91,-,-,-,246000,201000,201000,301000,301000,301000,165000,165000,135000,135000,165000,201000
fha,0.54,1000000,-,823000,4.13,-,-,-,823000,823000,823000,1000000,823000,823000,673000,823000,823000,823000,823000,823000
amortization,0.3,823000,-,673000,0.76,-,-,-,673000,673000,673000,823000,673000,673000,550000,673000,673000,673000,673000,673000
outer banks,0.46,823000,-,673000,1.74,-,-,-,1000000,823000,673000,823000,673000,673000,368000,368000,450000,673000,1000000,1000000
hilton head,0.36,1220000,-,1000000,2.3,-,-,-,1500000,1220000,1220000,1500000,1000000,1000000,673000,673000,823000,823000,1000000,1500000
