Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
family dollar application,0.68,27100,-,27100,0.33,-,-,-,40500,33100,27100,27100,22200,27100,22200,27100,22200,22200,22200,22200
woodbury outlet,0.27,110000,-,49500,0.57,-,-,-,40500,40500,33100,33100,27100,33100,60500,60500,40500,40500,74000,60500
sams wholesale,0.2,22200,-,22200,0.16,-,-,-,22200,27100,22200,27100,22200,22200,33100,27100,22200,22200,22200,22200
alderwood mall,0.04,40500,-,40500,0.42,-,-,-,40500,33100,33100,33100,33100,40500,60500,49500,33100,33100,33100,33100
clackamas town center,0.06,33100,-,33100,0.31,-,-,-,33100,33100,27100,33100,27100,33100,49500,40500,33100,27100,33100,27100
mervyns,0.26,33100,-,33100,0.37,-,-,-,27100,22200,22200,27100,27100,33100,33100,33100,33100,33100,33100,33100
ridgedale mall,0.05,14800,-,14800,0.26,-,-,-,12100,12100,12100,14800,12100,14800,22200,14800,12100,12100,12100,9900
ltdcommodities,0.13,165000,-,135000,0.1,-,-,-,90500,110000,135000,135000,110000,135000,165000,301000,201000,165000,135000,110000
dollar general application,0.57,14800,-,14800,0.38,-,-,-,22200,22200,18100,18100,12100,14800,9900,12100,14800,12100,9900,9900
outlet malls,0.19,1220000,-,823000,0.63,-,-,-,823000,673000,673000,823000,673000,823000,1000000,1220000,823000,823000,1000000,1000000
montclair plaza,0.03,14800,-,12100,0.28,-,-,-,14800,12100,12100,12100,12100,12100,18100,14800,12100,12100,12100,9900
dollar store online,0.68,14800,-,12100,0.58,-,-,-,12100,9900,9900,14800,12100,14800,14800,14800,14800,12100,12100,14800
st louis mills,0.09,33100,-,33100,0.47,-,-,-,27100,27100,27100,27100,27100,33100,40500,33100,27100,27100,27100,33100
st louis mills mall,0.12,12100,-,12100,0.41,-,-,-,8100,8100,8100,9900,9900,9900,18100,18100,12100,9900,12100,14800
family dollar careers,0.5,9900,-,8100,0.36,-,-,-,18100,14800,12100,12100,8100,8100,5400,5400,6600,5400,6600,5400
the vermont country store,0.25,90500,-,74000,0.13,-,-,-,74000,74000,90500,60500,60500,90500,165000,135000,90500,60500,49500,49500
woodbury commons stores,0.18,8100,-,6600,0.25,-,-,-,5400,6600,4400,2400,5400,8100,14800,14800,6600,5400,3600,2900
dilards,0.09,6600,-,5400,0.2,-,-,-,4400,5400,5400,5400,5400,6600,6600,6600,4400,5400,4400,4400
tanger outlet coupons,0.42,9900,-,9900,0.46,-,-,-,9900,9900,9900,9900,5400,4400,14800,18100,8100,8100,12100,9900
alderwood mall theater,0.01,5400,-,4400,0.12,-,-,-,5400,4400,3600,2900,3600,5400,6600,6600,4400,3600,5400,5400
woodbury common premium outlets,0.19,22200,-,6600,0.58,-,-,-,5400,6600,5400,5400,4400,4400,6600,8100,6600,6600,6600,6600
woodbury common,0.12,201000,-,135000,0.63,-,-,-,110000,135000,110000,110000,110000,135000,201000,246000,135000,135000,165000,135000
oshkosh outlet mall,0.16,6600,-,5400,0.39,-,-,-,5400,4400,5400,5400,4400,4400,6600,9900,5400,5400,8100,6600
oaks mall gainesville,0.1,5400,-,5400,0.34,-,-,-,4400,4400,4400,4400,4400,6600,9900,6600,5400,6600,5400,5400
online dollar store,0.68,14800,-,12100,0.57,-,-,-,12100,9900,9900,14800,12100,14800,14800,14800,14800,12100,12100,14800
filene s,0.2,60500,-,60500,0.49,-,-,-,49500,49500,60500,60500,49500,60500,74000,74000,60500,60500,49500,60500
sams club employment,0.52,22200,-,22200,0.36,-,-,-,22200,22200,18100,18100,14800,22200,18100,22200,27100,22200,18100,18100
pioneer place,0.03,22200,-,18100,0.57,-,-,-,14800,14800,14800,18100,14800,18100,22200,22200,18100,14800,14800,14800
layaway stores,0.64,14800,-,14800,1,-,-,-,8100,8100,8100,9900,8100,12100,18100,40500,27100,18100,12100,9900
family dollar jobs,0.51,9900,-,9900,0.38,-,-,-,18100,18100,14800,12100,8100,9900,6600,6600,6600,6600,8100,6600
outlet malls in michigan,0.22,22200,-,18100,0.37,-,-,-,18100,18100,14800,18100,14800,14800,18100,27100,22200,22200,27100,22200
montclair mall,0.03,5400,-,4400,0.35,-,-,-,4400,4400,4400,5400,4400,4400,6600,4400,4400,3600,3600,3600
