Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
24 hour fitness,0.11,1220000,-,1220000,0.31,-,-,-,1220000,1220000,1000000,1220000,1220000,1500000,1220000,1000000,1000000,1000000,1000000,1000000
jordan shoes,0.56,823000,-,550000,0.37,-,-,-,550000,550000,550000,823000,823000,673000,823000,673000,550000,368000,450000,368000
sperry,0.65,823000,-,823000,0.67,-,-,-,823000,823000,823000,823000,673000,673000,1000000,823000,673000,550000,673000,550000
bmi calculator,0.18,1000000,-,450000,0.36,-,-,-,550000,450000,450000,550000,450000,550000,368000,368000,368000,368000,368000,368000
new balance,0.77,2240000,-,1220000,1.24,-,-,-,1220000,1220000,1220000,1500000,1000000,1220000,1000000,1000000,1000000,1000000,1220000,1000000
paintball,0.3,6120000,-,1830000,0.49,-,-,-,1830000,2240000,2240000,2240000,1830000,2240000,1830000,2240000,2240000,1830000,1830000,1830000
as seen on tv,0.59,550000,-,450000,0.63,-,-,-,450000,368000,368000,450000,368000,550000,673000,450000,368000,368000,368000,450000
swimsuits,0.86,5000000,-,2740000,1.11,-,-,-,4090000,4090000,3350000,4090000,4090000,2740000,1500000,1500000,1500000,1500000,2240000,3350000
bcs rankings,0.04,246000,-,246000,0.17,-,-,-,6600,4400,5400,6600,14800,165000,246000,1220000,1220000,110000,18100,6600
eve online,0.06,1220000,-,450000,0.68,-,-,-,673000,450000,368000,368000,368000,450000,450000,368000,368000,368000,368000,368000
college football scores,0.05,165000,-,135000,0.29,-,-,-,2900,2400,2900,5400,6600,90500,135000,450000,450000,450000,8100,3600
creatine,0.15,1830000,-,673000,0.8,-,-,-,673000,673000,673000,823000,673000,673000,550000,550000,673000,550000,550000,550000
paintball guns,0.54,550000,-,368000,0.45,-,-,-,368000,450000,368000,450000,368000,368000,368000,368000,368000,301000,368000,301000
snapback hats,0.6,301000,-,246000,0.43,-,-,-,301000,368000,368000,368000,301000,301000,301000,201000,165000,165000,135000,90500
wimbledon 2011,0.1,823000,-,110000,0.57,-,-,-,1220000,22200,12100,12100,8100,12100,4400,3600,2400,2900,2400,2900
pilates,0.31,4090000,-,1000000,1.4,-,-,-,1000000,823000,823000,1220000,1220000,1220000,823000,823000,1000000,1000000,823000,823000
maldives,0.41,2740000,-,246000,1.25,-,-,-,246000,301000,246000,301000,246000,246000,201000,246000,301000,246000,201000,201000
kentucky derby 2011,0.11,246000,-,246000,0.56,-,-,-,27100,2240000,368000,135000,74000,60500,22200,22200,18100,12100,8100,6600
swimwear,0.85,5000000,-,3350000,1.14,-,-,-,5000000,4090000,3350000,4090000,4090000,3350000,1830000,1500000,1500000,1830000,2240000,4090000
hbo schedule,0.06,165000,-,110000,0.27,-,-,-,135000,135000,135000,135000,110000,135000,110000,135000,90500,90500,74000,74000
bikram yoga,0.13,823000,-,450000,1.33,-,-,-,450000,450000,450000,450000,450000,550000,368000,368000,368000,368000,368000,368000
running shoes,0.7,1500000,-,1000000,1.32,-,-,-,1000000,1000000,1000000,1220000,1000000,1000000,823000,823000,823000,823000,1000000,823000
