Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
cheap flights,0.96,13600000,-,6120000,1.4,-,-,-,6120000,6120000,6120000,7480000,7480000,7480000,5000000,6120000,6120000,5000000,5000000,6120000
trip advisor,0.13,7480000,-,1830000,0.12,-,-,-,2240000,2240000,1830000,2240000,1830000,2240000,1220000,1220000,1500000,1500000,1830000,1830000
cheap tickets,0.93,7480000,-,4090000,1.24,-,-,-,4090000,4090000,3350000,4090000,4090000,4090000,3350000,3350000,4090000,3350000,4090000,4090000
disney world,0.43,6120000,-,5000000,1.29,-,-,-,5000000,5000000,5000000,6120000,5000000,6120000,4090000,4090000,4090000,3350000,4090000,4090000
airline tickets,0.92,5000000,-,3350000,1.49,-,-,-,3350000,2740000,2740000,3350000,3350000,4090000,2740000,2740000,2740000,2740000,2740000,3350000
disneyland,0.37,9140000,-,4090000,1.07,-,-,-,4090000,4090000,4090000,5000000,4090000,4090000,3350000,3350000,3350000,3350000,3350000,3350000
carnival cruise,0.29,1220000,-,1000000,0.35,-,-,-,1000000,1000000,1000000,1220000,1220000,1500000,823000,1220000,1000000,1000000,1000000,1000000
royal caribbean,0.47,2240000,-,1220000,0.97,-,-,-,1220000,1000000,1220000,1500000,1500000,1830000,1000000,1000000,1000000,1000000,1000000,1000000
usairways,0.13,2740000,-,2740000,0.13,-,-,-,2740000,2740000,2740000,2740000,2740000,3350000,2740000,2240000,2240000,2240000,2240000,2240000
air tran,0.27,1830000,-,1830000,0.42,-,-,-,2240000,1830000,1830000,2240000,1830000,2240000,1500000,1500000,1830000,1830000,1500000,1500000
rental cars,0.75,4090000,-,2240000,2.18,-,-,-,2740000,2240000,2240000,2740000,2240000,2240000,2240000,2240000,1830000,1830000,2240000,2740000
toontown,0.14,673000,-,550000,0.12,-,-,-,550000,368000,450000,368000,368000,368000,450000,368000,368000,450000,673000,1220000
walt disney world,0.37,2740000,-,1830000,1.3,-,-,-,1830000,1830000,1830000,2240000,2240000,2740000,1830000,1830000,1500000,1500000,1500000,1500000
disney cruise,0.5,823000,-,550000,1.03,-,-,-,550000,550000,673000,823000,823000,1220000,368000,450000,450000,368000,368000,368000
cheap airline tickets,0.97,1830000,-,1000000,1.46,-,-,-,1000000,1000000,823000,1000000,1220000,1220000,1000000,1000000,1000000,1000000,1220000,1220000
cheap hotels,0.96,5000000,-,1500000,2.8,-,-,-,1830000,1500000,1500000,1830000,1830000,1830000,1500000,1220000,1500000,1500000,1830000,2240000
norwegian cruise line,0.71,368000,-,246000,1.14,-,-,-,246000,246000,201000,301000,301000,450000,201000,201000,201000,201000,246000,301000
choice hotels,0.24,368000,-,246000,0.23,-,-,-,368000,301000,246000,246000,201000,201000,165000,201000,246000,301000,246000,301000
lowest air fare,0.97,1830000,-,368000,1.51,-,-,-,90500,74000,74000,110000,110000,3350000,74000,74000,74000,74000,74000,90500
cheaptickets,0.9,2740000,-,1830000,0.88,-,-,-,1830000,1830000,1830000,1830000,1830000,1830000,1500000,1500000,1500000,1500000,1500000,1830000
celebrity cruises,0.63,550000,-,301000,1.02,-,-,-,246000,246000,246000,368000,301000,368000,246000,246000,301000,301000,246000,246000
las vegas hotels,0.83,1000000,-,673000,2.65,-,-,-,673000,673000,550000,823000,673000,823000,550000,550000,550000,550000,673000,673000
plane tickets,0.93,2740000,-,1830000,1.55,-,-,-,1830000,1830000,1830000,2240000,2240000,2240000,1830000,1830000,1830000,1830000,1830000,1830000
bellagio,0.25,823000,-,368000,0.56,-,-,-,450000,368000,368000,450000,450000,450000,450000,368000,368000,368000,368000,368000
key west,0.44,2240000,-,1830000,1.43,-,-,-,1830000,1830000,1830000,2240000,2240000,2740000,1830000,1500000,1500000,1500000,1500000,1500000
disneyland tickets,0.78,550000,-,450000,0.97,-,-,-,550000,450000,368000,450000,450000,450000,450000,368000,368000,301000,368000,450000
yosemite national park,0.25,246000,-,201000,0.75,-,-,-,201000,201000,135000,165000,135000,201000,135000,165000,201000,201000,201000,246000
ncl,0.42,1000000,-,550000,1.01,-,-,-,550000,550000,550000,673000,673000,823000,450000,450000,550000,550000,550000,550000
cheap cruises,0.99,368000,-,246000,2.31,-,-,-,246000,246000,201000,301000,368000,450000,201000,201000,201000,201000,201000,246000
kings island,0.22,368000,-,368000,0.68,-,-,-,673000,550000,301000,246000,165000,165000,110000,110000,301000,301000,450000,550000
bahamas,0.46,3350000,-,1830000,1.42,-,-,-,1830000,1830000,1830000,2240000,2240000,2740000,1830000,1500000,1500000,1500000,1500000,1830000
knotts berry farm,0.17,301000,-,246000,0.5,-,-,-,301000,246000,246000,246000,165000,201000,246000,246000,368000,201000,201000,246000
metropolitan museum of art,0.14,246000,-,201000,0.76,-,-,-,201000,201000,201000,201000,165000,201000,246000,201000,201000,165000,165000,165000
car rentals,0.73,11100000,-,5000000,1.75,-,-,-,6120000,5000000,4090000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,6120000
vacation rentals,0.71,3350000,-,2740000,1.6,-,-,-,3350000,2740000,2240000,3350000,3350000,3350000,1830000,1830000,1830000,1830000,2740000,3350000
all inclusive vacations,0.92,1220000,-,1000000,2.21,-,-,-,1000000,823000,823000,1220000,1220000,1500000,823000,673000,673000,673000,823000,1000000
