Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
used cars,0.78,6120000,-,4090000,1.83,-,-,-,-,-,3350000,4090000,5000000,5000000,3350000,3350000,3350000,3350000,3350000,3350000
discount tire,0.56,1220000,-,1000000,0.8,-,-,-,1220000,1000000,1000000,1220000,1000000,1000000,1220000,1220000,1220000,1000000,1000000,1000000
cars for sale,0.76,6120000,-,2740000,1.99,-,-,-,2740000,2740000,2740000,3350000,3350000,3350000,2240000,2240000,2240000,2240000,2240000,2240000
mini cooper,0.56,2740000,-,823000,1.06,-,-,-,1000000,1000000,1000000,1000000,823000,823000,823000,673000,673000,673000,673000,673000
tires,0.75,9140000,-,7480000,1.84,-,-,-,-,-,6120000,7480000,6120000,7480000,7480000,7480000,7480000,7480000,6120000,6120000
acura,0.42,4090000,-,2740000,1.68,-,-,-,2740000,2740000,2740000,3350000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2240000
infiniti,0.52,2240000,-,1500000,1.3,-,-,-,-,-,1500000,1830000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000
used cars for sale,0.9,1500000,-,823000,1.92,-,-,-,823000,823000,823000,1000000,1000000,823000,550000,550000,550000,550000,673000,673000
camping world,0.49,368000,-,301000,0.27,-,-,-,368000,450000,301000,301000,246000,246000,165000,201000,246000,246000,301000,301000
habitat for humanity,0.14,550000,-,450000,0.38,-,-,-,550000,550000,550000,550000,450000,550000,368000,450000,550000,450000,450000,450000
rims,0.5,6120000,-,3350000,0.87,-,-,-,-,4090000,4090000,5000000,4090000,4090000,3350000,3350000,3350000,3350000,3350000,3350000
suzuki motorcycles,0.6,368000,-,165000,0.55,-,-,-,165000,246000,201000,246000,165000,165000,110000,135000,165000,165000,165000,165000
florida dmv,0.1,368000,-,368000,0.44,-,-,-,450000,368000,368000,450000,368000,450000,368000,368000,368000,368000,450000,368000
discount tires,0.57,1000000,-,1000000,0.87,-,-,-,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1220000,1000000,1000000,823000,823000
garmin nuvi,0.67,1830000,-,673000,0.8,-,-,-,673000,550000,550000,550000,550000,673000,1000000,1220000,673000,673000,823000,823000
car dealerships,0.69,4090000,-,2240000,3.69,-,-,-,2240000,2240000,2240000,3350000,3350000,3350000,2240000,2240000,2240000,2240000,2240000,2240000
dmv.org,0.14,90500,-,90500,0.1,-,-,-,90500,74000,90500,110000,90500,60500,90500,110000,110000,90500,110000,90500
smart car,0.48,673000,-,301000,1.34,-,-,-,301000,368000,368000,368000,301000,301000,246000,246000,301000,301000,301000,301000
tires plus,0.61,201000,-,201000,1.48,-,-,-,201000,201000,165000,201000,201000,201000,201000,246000,201000,201000,165000,165000
manheim,0.09,3350000,-,368000,0.12,-,-,-,368000,368000,368000,450000,368000,450000,450000,450000,368000,368000,301000,301000
cooper tires,0.89,201000,-,165000,1.28,-,-,-,135000,110000,135000,165000,135000,165000,165000,201000,165000,165000,135000,135000
drivers ed,0.37,673000,-,550000,2.1,-,-,-,673000,550000,550000,673000,550000,673000,550000,550000,550000,550000,550000,550000
vespa,0.27,4090000,-,301000,0.65,-,-,-,368000,368000,368000,368000,246000,246000,201000,246000,246000,301000,301000,368000
nc dmv,0.04,301000,-,301000,0.14,-,-,-,368000,301000,301000,368000,301000,301000,246000,301000,301000,301000,301000,301000
nada guide,0.25,201000,-,165000,0.23,-,-,-,201000,201000,201000,201000,165000,201000,165000,165000,135000,110000,135000,201000
bluebook,0.27,4090000,-,4090000,0.13,-,-,-,4090000,4090000,4090000,5000000,4090000,4090000,3350000,3350000,3350000,4090000,4090000,4090000
goodyear tires,0.9,301000,-,246000,2.49,-,-,-,-,165000,165000,201000,201000,201000,246000,301000,301000,246000,246000,246000
motorcycle helmets,0.88,550000,-,301000,0.99,-,-,-,450000,450000,368000,450000,301000,246000,201000,246000,301000,301000,301000,368000
thule,0.6,1830000,-,368000,1.25,-,-,-,450000,450000,368000,368000,301000,301000,301000,301000,246000,301000,368000,368000
boats for sale,0.48,2240000,-,1000000,0.45,-,-,-,1500000,1220000,1220000,1220000,1000000,1000000,673000,673000,823000,1000000,1220000,1500000
go karts,0.44,3350000,-,1000000,0.59,-,-,-,1000000,1000000,823000,1000000,823000,1000000,1000000,1000000,823000,1000000,1000000,1220000
scooters,0.56,9140000,-,2740000,1.12,-,-,-,3350000,3350000,2740000,2740000,2240000,2240000,2240000,2240000,2240000,2240000,2740000,2740000
kawasaki motorcycles,0.45,165000,-,90500,0.35,-,-,-,110000,135000,135000,165000,110000,90500,49500,60500,74000,74000,74000,74000
victory motorcycles,0.36,135000,-,90500,0.45,-,-,-,110000,110000,110000,110000,74000,74000,60500,60500,74000,90500,90500,90500
truck accessories,0.71,368000,-,301000,1.13,-,-,-,246000,246000,246000,301000,301000,301000,301000,301000,246000,246000,246000,246000
used auto parts,0.68,246000,-,246000,0.95,-,-,-,201000,201000,201000,246000,246000,246000,201000,246000,246000,201000,201000,201000
used cars for sale by owner,0.89,110000,-,90500,1.6,-,-,-,74000,74000,74000,90500,110000,135000,90500,90500,90500,90500,110000,135000
used car values,0.5,301000,-,201000,0.7,-,-,-,301000,246000,201000,201000,246000,301000,201000,201000,165000,135000,165000,246000
discount auto parts,0.75,90500,-,74000,0.92,-,-,-,74000,74000,74000,90500,74000,74000,74000,74000,74000,74000,74000,74000
catalytic converter,0.6,450000,-,368000,1.29,-,-,-,368000,368000,368000,450000,368000,368000,301000,301000,368000,301000,301000,301000
tire size calculator,0.37,90500,-,60500,0.94,-,-,-,49500,49500,49500,60500,60500,60500,60500,74000,60500,49500,49500,49500
trucks for sale,0.79,1500000,-,1000000,1.96,-,-,-,1000000,1000000,1000000,1220000,1220000,1220000,1000000,1000000,1000000,1000000,1000000,823000
practice permit test,0.31,450000,-,368000,0.21,-,-,-,550000,368000,368000,450000,368000,368000,301000,301000,301000,301000,368000,368000
tires for sale,0.98,368000,-,246000,2.78,-,-,-,246000,246000,246000,301000,301000,246000,246000,301000,246000,246000,246000,246000
yamaha atv,0.5,165000,-,90500,1.14,-,-,-,90500,90500,90500,110000,110000,90500,90500,90500,90500,90500,90500,74000
